[CG99] SA1656-20                     12.9897 27.9514
[EDG2007] 465                        12.995 27.8846
[CTM2010] 100600                     13.0025 28.0458
GMP 3525                             12.9895 27.9603
SPS J130002.95+275342.0              13.0008 27.895
GMP 2817                             13.0045 27.9841
[UBM96] 5                            12.9972 27.8786
[CTM2010] 242857                     13.0032 27.923
[UBM96] 7L                           12.9969 27.8781
GMP 3402                             12.9918 28.0581
[CTM2010] 160141                     13.0046 27.9741
GMP 2858                             13.0036 28.0314
GMP 3532                             12.9893 28.005
[CG99] SA1656-22                     12.9892 27.9566
GMP 2979                             13.0011 28.0689
[UBM96] 4L                           12.9985 27.8775
[EDG2007] 610                        13.0041 28.026
[UBM96] 17                           12.9918 27.8978
GMP 2962                             13.0014 27.8922
[CTM2010] 161002                     13.0049 27.9688
GMP 3544                             12.9891 27.9531
GMP 3533                             12.9893 28.0169
[CTM2010] 101463                     13.0038 28.0374
[EDG2007] 533                        12.9965 27.8727
[UBM96] 1                            13.0003 27.8822
[CTM2010] 230475                     13.0045 27.9418
GMP 3541                             12.9891 28.0156
GMP 3569                             12.9887 27.9939
GMP 2811                             13.0046 27.9441
GMP 2789                             13.0051 27.9715
[EDG2007] 636                        12.9943 27.8761
[CTM2010] 160540                     13.0051 27.975
[CTM2010] 160607                     13.0052 27.973
[EDG2007] 722                        13.0034 27.9122
[CTM2010] 160796                     13.0052 27.9714
[CTM2010] 101962                     13.0044 28.0295
[CTM2010] 160792                     13.0053 27.9668
[UBM96] 12L                          12.9932 27.8797
[EDG2007] 660                        13.0038 28.0455
GMP 3318                             12.9934 28.0844
[CTM2010] 160703                     13.0055 27.9847
[EDG2007] 590                        12.9938 27.8733
GMP 2756                             13.0055 27.9767
[EDG2007] 710                        12.9983 27.867
[EDG2007] 671                        13.005 28.0224
[EDG2007] 696                        13.0013 27.8806
GMP 2818                             13.0045 27.9228
GMP 2903                             13.0026 28.0692
[CTM2010] 161244                     13.0056 27.9672
[EDG2007] 717                        13.0034 27.9016
[EDG2007] 600                        12.9881 27.9878
GMP 3526                             12.9894 28.0433
GMP 3154                             12.9966 28.0976
GMP 3415                             12.9915 28.0747
[EDG2007] 570                        12.9882 27.9551
[EDG2007] 359                        12.9992 27.8663
[EDG2007] 295                        12.9923 28.0829
[UBM96] 13L                          12.9927 27.8744
[EDG2007] 487                        12.9924 28.0846
[APD2000] J130005.9+280458           13.0016 28.0825
GMP 3596                             12.988 28.0083
[CG99] SA1656-62                     13.0019 27.8803
[CTM2010] 161665                     13.0057 27.95
GMP 3419                             12.9915 28.0786
GMP 2734                             13.006 27.9711
[CTM2010] 31001                      13.0033 28.0675
[EDG2007] 485                        12.9899 28.0606
[CTM2010] 230751                     13.0045 27.9123
[EDG2007] 624                        13.0018 28.0843
[CTM2010] 230649                     13.0043 27.908
[UBM96] 17L                          12.9922 27.8747
GMP 3583                             12.9884 27.9314
[CTM2010] 230804                     13.0039 27.8995
GMP 3268                             12.9944 27.8608
[CTM2010] 230945                     13.0051 27.9213
[EDG2007] 254                        12.9875 27.9655
[EDG2007] 473                        12.9993 27.8594
GMP 3226                             12.995 28.1039
GMP 3457                             12.9909 27.8825
