C.D.S.  -  SIMBAD4 rel 1.6  -  2018.05.15CEST23:05:36

coord 12 59 48.7  +27 58 50 (ICRS, J2000, 2000), radius: 8 deg
--------------------------------------------------------------

Number of objects : 10000  (truncated to 10000 objects)

  #  |dist(asec)|             identifier              |typ|  coord1 (ICRS,J2000/2000)   |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
-----|----------|-------------------------------------|---|-----------------------------|------|------|------|------|------|---------------|----|----
41   |     93.28|GMP 3112                             |G  |12 59 51.6 +27 57 25         |     ~|     ~|     ~|20.54 |20.80 |~              |   2|   0
42   |     98.88|2MASX J12594423+2757307              |GiC|12 59 44.238 +27 57 30.74    |16.94 |16.982|15.70 |15.52 |14.881|~              |  28|   0
43   |     98.97|[CTM2010] 182306                     |G  |12 59 52.4414 +27 57 24.331  |     ~|     ~|     ~|23.46 |23.49 |~              |   1|   0
44   |     99.03|[EDG2007] 449                        |G  |12 59 48.87 +27 57 11.0      |22.255|20.677|20.476|19.435|18.243|~              |   1|   0
45   |     99.81|[CTM2010] 195506                     |G  |12 59 42.93 +27 59 54.2      |     ~|     ~|     ~|     ~|19.77 |~              |   1|   0
46   |    100.17|[CTM2010] 181737                     |G  |12 59 53.19 +28 00 10.6      |     ~|     ~|     ~|22.11 |22.01 |~              |   1|   0
47   |    100.79|[CTM2010] 123628                     |?  |12 59 45.2783 +28 00 20.022  |     ~|     ~|     ~|23.99 |24.14 |~              |   1|   0
48   |    103.77|[MGH2010] J125941.09+275825.4        |G? |12 59 41.09 +27 58 25.4      |     ~|     ~|     ~|     ~|22.53 |~              |   1|   0
49   |    104.39|[CTM2010] 1039079                    |G  |12 59 49.6582 +27 57 06.389  |     ~|     ~|     ~|22.70 |22.88 |~              |   1|   0
50   |    105.14|[EDG2007] 611                        |*  |12 59 55.02 +27 57 46.4      |20.692|22.795|20.377|19.385|18.62 |~              |   1|   0
51   |    105.18|[MGH2010] J125940.76+275850.5        |G? |12 59 40.76 +27 58 50.5      |     ~|     ~|     ~|     ~|23.14 |~              |   1|   0
52   |    106.17|[MGH2010] J125941.52+275937.2        |G? |12 59 41.52 +27 59 37.2      |     ~|     ~|     ~|     ~|23.00 |~              |   1|   0
53   |    107.21|[MGH2010] J125940.64+275840.3        |G? |12 59 40.64 +27 58 40.3      |     ~|     ~|     ~|     ~|21.90 |~              |   1|   0
54   |    107.77|[MGH2010] J125940.68+275831.9        |G? |12 59 40.68 +27 58 31.9      |     ~|     ~|     ~|     ~|23.92 |~              |   1|   0
55   |    109.43|[CTM2010] 1038942                    |G  |12 59 48.0601 +27 57 00.902  |     ~|     ~|     ~|22.94 |23.11 |~              |   1|   0
56   |    110.69|[MGH2010] J125940.49+275829.4        |G? |12 59 40.49 +27 58 29.4      |     ~|     ~|     ~|     ~|23.96 |~              |   1|   0
57   |    112.65|GMP 3075                             |G  |12 59 55.8 +27 57 48         |20.97 |     ~|19.76 |     ~|     ~|~              |   1|   0
58   |    115.08|[MGH2010] J125940.60+275808.4        |G? |12 59 40.60 +27 58 08.4      |     ~|     ~|     ~|     ~|21.14 |~              |   1|   0
59   |    119.84|[CTM2010] 196829                     |?  |12 59 43.3704 +27 57 13.173  |     ~|     ~|     ~|23.51 |23.93 |~              |   1|   0
60   |    120.17|LEDA 44651                           |GiC|12 59 40.270 +27 58 05.64    |17.47 |17.375|16.02 |15.812|15.153|~              |  28|   0
61   |    122.92|[EDG2007] 99                         |*  |12 59 44.86 +27 56 58.1      |16.674|16.213|15.385|14.889|14.395|~              |   1|   0
62   |    123.38|[CTM2010] 182393                     |G  |12 59 52.59 +27 56 57.9      |     ~|     ~|     ~|21.19 |21.08 |~              |   1|   0
63   |    123.59|[CTM2010] 1041346                    |G  |12 59 39.4006 +27 58 40.047  |     ~|     ~|     ~|21.65 |21.89 |~              |   4|   0
64   |    124.44|2MASS J12594137+2800079              |*  |12 59 41.38 +28 00 08.0      |17.289|17.316|16.679|16.295|15.85 |~              |   1|   0
65   |    126.15|[CTM2010] 1042772                    |G  |12 59 57.4805 +27 59 38.858  |     ~|     ~|     ~|23.22 |23.37 |~              |   1|   0
66   |    126.21|[CTM2010] 1043225                    |G  |12 59 56.7297 +27 59 57.947  |     ~|     ~|     ~|     ~|22.72 |~              |   2|   0
67   |    126.45|[ZEH2003] RX J1259.7+2756 3          |*  |12 59 44.9 +27 56 54         |     ~|16.2  |     ~|     ~|     ~|~              |   1|   0
68   |    128.09|[MGH2010] J125939.30+275820.0        |G? |12 59 39.30 +27 58 20.0      |     ~|     ~|     ~|     ~|22.74 |~              |   1|   0
69   |    128.53|[MGH2010] J125939.13+275911.2        |G? |12 59 39.13 +27 59 11.2      |     ~|     ~|     ~|     ~|24.07 |~              |   1|   0
70   |    129.08|[MGH2010] J125938.99+275900.9        |G? |12 59 38.99 +27 59 00.9      |     ~|     ~|     ~|     ~|24.16 |~              |   1|   0
71   |    131.00|[MGH2010] J125938.92+275830.6        |G? |12 59 38.92 +27 58 30.6      |     ~|     ~|     ~|     ~|23.92 |~              |   1|   0
72   |    131.11|[MGH2010] J125938.86+275835.9        |G? |12 59 38.86 +27 58 35.9      |     ~|     ~|     ~|     ~|24.03 |~              |   1|   0
73   |    131.86|LEDA 126785                          |GiC|12 59 44.08 +28 00 46.8      |19.657|19.718|18.946|18.478|17.761|~              |   9|   0
74   |    134.17|GMP 3040                             |G  |12 59 58.8 +27 58 40         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
75   |    135.56|[CTM2010] 195526                     |G  |12 59 40.3899 +27 57 30.905  |     ~|     ~|     ~|22.12 |21.95 |~              |   5|   0
