C.D.S.  -  SIMBAD4 rel 1.6  -  2018.05.15CEST23:05:36

coord 12 59 48.7  +27 58 50 (ICRS, J2000, 2000), radius: 8 deg
--------------------------------------------------------------

Number of objects : 10000  (truncated to 10000 objects)

  #  |dist(asec)|             identifier              |typ|  coord1 (ICRS,J2000/2000)   |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
-----|----------|-------------------------------------|---|-----------------------------|------|------|------|------|------|---------------|----|----
2364 |   1422.92|2MASX J12583599+2816187              |GiC|12 58 35.999 +28 16 18.70    |     ~|17    |     ~|     ~|     ~|~              |   9|   0
2365 |   1423.32|2MASX J12581922+2745437              |GiC|12 58 19.226 +27 45 43.71    |     ~|16    |     ~|     ~|     ~|~              |  15|   0
2366 |   1423.88|FOCA 0728-298                        |UV |13 01 13.3 +28 13 30         |     ~|     ~|     ~|     ~|     ~|~              |   0|   1
2367 |   1424.18|[K94] 125633.40+283535.8             |Rad|12 58 57.850 +28 19 45.40    |     ~|23.68 |23.08 |22.93 |22.45 |~              |   1|   0
2368 |   1426.68|GMP 3873                             |G  |12 58 58.1 +28 19 50         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2369 |   1426.68|GMP 4406                             |GiC|12 58 12.9 +28 09 44         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2370 |   1428.26|GMP 1962                             |G  |13 01 36.4 +27 57 45         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2371 |   1429.23|NGC 4896                             |GiG|13 00 30.747 +28 20 46.63    |     ~|15.1  |     ~|     ~|     ~|~              |  43|   0
2372 |   1429.73|GMP 4248                             |G  |12 58 28.4 +28 14 47         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2373 |   1429.96|GMP 4412                             |G  |12 58 12.2 +28 09 33         |19.82 |     ~|18.74 |     ~|     ~|~              |   1|   0
2374 |   1431.03|[APD2000] J130049.8+281831           |IR |13 00 49.8 +28 18 31         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2375 |   1431.68|GMP 3380                             |G  |12 59 31.8 +27 35 16         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2376 |   1431.85|GMP 4052                             |G  |12 58 43.4 +28 17 52         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2377 |   1431.89|GMP 1993                             |G  |13 01 32.1 +27 51 55         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2378 |   1432.39|[BCF91] 392                          |UV |13 01 35.77 +28 02 12.9      |     ~|19.00 |18.65 |     ~|     ~|~              |   0|   0
2379 |   1432.57|GMP 4320                             |G  |12 58 21.3 +27 44 48         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2380 |   1432.87|CAIRNS J130001.48+273507.2           |GiC|13 00 01.48 +27 35 07.2      |     ~|     ~|     ~|     ~|     ~|~              |   3|   0
2381 |   1433.56|NVSS J130024+282118                  |Rad|13 00 24.53 +28 21 23.0      |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2382 |   1434.53|GMP 4064                             |G  |12 58 41.6 +28 17 37         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2383 |   1438.78|GMP 4166                             |G  |12 58 34.1 +28 16 17         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2384 |   1439.34|GMP 1958                             |GiC|13 01 36.6 +27 56 03         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2385 |   1441.32|CAIRNS J130036.00+273712.5           |GiC|13 00 36.00 +27 37 12.5      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
2386 |   1441.87|GMP 4438                             |GiC|12 58 09.8 +27 48 50         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2387 |   1442.09|NVSS J130136+275559                  |Rad|13 01 36.80 +27 56 02.0      |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2388 |   1442.14|GMP 3737                             |G  |12 59 06.9 +28 21 02         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2389 |   1442.80|2MASS J13011974+2812039              |IR |13 01 19.74 +28 12 03.9      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2390 |   1443.81|CAIRNS J125910.46+273618.3           |GiC|12 59 10.46 +27 36 18.3      |     ~|     ~|     ~|     ~|     ~|~              |   4|   0
2391 |   1444.25|LEDA 126739                          |GiC|13 01 37.325 +28 00 56.76    |     ~|     ~|     ~|     ~|     ~|~              |   4|   0
2392 |   1444.45|GMP 2064                             |G  |13 01 25.7 +28 09 52         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2393 |   1445.36|2XMM J125834.6+274108                |Q? |12 58 34.639 +27 41 09.83    |     ~|     ~|19.70 |     ~|     ~|~              |   1|   0
2394 |   1446.28|2MASS J12584971+2819077              |blu|12 58 49.71 +28 19 07.8      |     ~|18    |     ~|     ~|     ~|~              |   0|   0
2395 |   1446.82|GMP 1941                             |G  |13 01 37.9 +27 59 22         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2396 |   1447.04|GMP 3604                             |G  |12 59 16.952 +27 35 45.65    |     ~|20.93 |20.22 |19.44 |19.31 |~              |   2|   0
2397 |   1447.07|2XMM J125806.6+275017                |X  |12 58 06.624 +27 50 16.92    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2398 |   1447.73|NGC 4923                             |EmG|13 01 31.765 +27 50 50.73    |     ~|14.7  |     ~|     ~|     ~|~              |  56|   0
2399 |   1448.40|[APD2000] J130042.1+281955           |*  |13 00 42.041 +28 19 55.00    |     ~|21.15 |20.08 |19.37 |18.79 |~              |   2|   0
2400 |   1448.60|GMP 2308                             |G  |13 01 03.5 +28 16 28         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2401 |   1449.41|LEDA 126795                          |GiC|12 59 18.541 +27 35 36.94    |17.79 |17.93 |17.22 |16.77 |     ~|~              |  13|   0
2402 |   1449.46|Weis 63185                           |*  |13 01 36.5 +27 54 44         |     ~|13.72 |13.32 |     ~|     ~|G0III-IV       |   0|   0
2403 |   1449.74|[APD2000] J130106.5+281551           |IR |13 01 06.5 +28 15 51         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2404 |   1450.74|2MASS J13001814+2822075              |IR |13 00 18.15 +28 22 07.5      |     ~|18.800|     ~|16.700|     ~|~              |   1|   0
2405 |   1451.19|2MASX J12581382+2810576              |GiC|12 58 13.828 +28 10 57.69    |16.38 |15    |15.14 |     ~|     ~|~              |  15|   0
2406 |   1452.85|2XMM J125958.5+282256                |AG?|12 59 58.552 +28 22 57.00    |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
2407 |   1453.11|CAIRNS J125901.34+273659.8           |GiC|12 59 01.34 +27 36 59.8      |     ~|     ~|     ~|     ~|     ~|~              |   3|   0
2408 |   1454.08|2MASX J12584030+2739536              |GiC|12 58 40.309 +27 39 53.68    |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
2409 |   1454.70|2MASS J13002810+2821281              |IR |13 00 28.10 +28 21 28.2      |     ~|19.300|     ~|17.400|     ~|~              |   1|   0
2410 |   1455.71|Weis 63981                           |*  |13 01 08.6 +27 42 12         |     ~|15.23 |14.83 |     ~|     ~|G1IV           |   0|   0
2411 |   1455.81|GMP 2121                             |G  |13 01 21.3 +28 11 56         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2412 |   1456.55|[K94] 125848.10+283042.2             |Rad|13 01 12.52 +28 14 34.3      |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2413 |   1457.56|GMP 1960                             |GiC|13 01 36.76 +28 03 27.4      |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2414 |   1458.10|2MASS J13003519+2820520              |IR |13 00 35.20 +28 20 52.1      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2415 |   1459.00|2MASX J12593980+2734357              |GiC|12 59 39.807 +27 34 35.78    |     ~|16.53 |     ~|15.51 |     ~|~              |  15|   0
2416 |   1461.08|GMP 1994                             |G  |13 01 32.3 +27 50 31         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2417 |   1461.39|[K94] 125848.90+283030.8             |IR |13 01 13.4 +28 14 28         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2418 |   1463.34|[APD2000] J130106.2+281613           |IR |13 01 06.251 +28 16 13.50    |     ~|22.62 |21.13 |20.01 |18.34 |~              |   2|   0
2419 |   1463.69|GMP 2418                             |G  |13 00 51.86 +28 18 51.9      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
2420 |   1463.72|GMP 4455                             |G  |12 58 07.8 +28 08 49         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2421 |   1464.40|LEDA 126824                          |GiC|12 58 27.078 +27 42 23.85    |19.20 |     ~|18.20 |     ~|     ~|~              |   4|   0
2422 |   1464.76|[K94] 125614.48+275559.3             |Rad|12 58 39.50 +27 39 48.6      |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2423 |   1465.21|[K94] 125737.54+275045.3             |Rad|13 00 02.39 +27 34 36.1      |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2424 |   1465.92|SN 2005ap                            |SN*|13 01 14.84 +27 43 31.4      |     ~|     ~|     ~|18.20 |     ~|SLSNIc         | 110|   1
2425 |   1466.03|GMP 3814                             |G  |12 59 01.9 +28 20 59         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2426 |   1466.17|GMP 4229                             |G  |12 58 29.9 +28 16 01         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2427 |   1466.29|GMP 3643                             |G  |12 59 14.9 +27 35 34         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2428 |   1466.33|GMP 4142                             |G  |12 58 35.4 +28 17 10         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2429 |   1466.40|GMP 3787                             |G  |12 59 04.5 +27 36 26         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2430 |   1467.08|2MASX J13012280+2811456              |GiC|13 01 22.800 +28 11 45.66    |     ~|15    |     ~|     ~|     ~|~              |  25|   0
2431 |   1468.14|SDSSCGB 55313.4                      |G  |12 58 23.197 +28 14 25.79    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2432 |   1468.37|SDSS J130127.19+274738.5             |Pe*|13 01 27.197 +27 47 38.59    |     ~|     ~|     ~|     ~|     ~|dC             |   1|   0
2433 |   1468.71|GMP 4431                             |GiC|12 58 10.712 +27 47 24.94    |     ~|     ~|     ~|18.17 |17.51 |~              |   2|   0
2434 |   1468.89|GMP 2170                             |G  |13 01 16.0 +27 43 46         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2435 |   1470.30|OMHR J130132.61+275018.4             |Q? |13 01 32.69 +27 50 18.4      |     ~|18.85 |18.45 |     ~|     ~|~              |   0|   0
2436 |   1471.37|[PCQ2005] J130115.10+274328.0        |G  |13 01 15.13 +27 43 27.5      |     ~|21.44 |20.59 |20.16 |19.75 |~              |   5|   1
2437 |   1471.54|[K94] 125539.39+280635.9             |Rad|12 58 04.44 +27 50 24.5      |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2438 |   1472.45|GMP 1946                             |G  |13 01 37.7 +27 54 04         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2439 |   1473.28|GMP 3219                             |G  |12 59 42.5 +28 23 21         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2440 |   1473.87|2XMM J125807.7+274831                |X  |12 58 07.805 +27 48 30.99    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2441 |   1475.08|GMP 2751                             |G  |13 00 20.1 +27 35 15         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2442 |   1475.47|4W 1256+27W01                        |Rad|12 58 39.16 +27 39 38.5      |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2443 |   1475.66|[APD2000] J130031.3+282136           |G  |13 00 31.1 +28 21 35         |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
2444 |   1476.16|GMP 2166                             |G  |13 01 16.4 +27 43 41         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2445 |   1476.20|[APD2000] J130020.0+282227           |IR |13 00 20.0 +28 22 27         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2446 |   1476.48|4W 1255+28W05                        |Rad|12 58 04.28 +27 50 16.0      |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2447 |   1478.34|GMP 2122                             |G  |13 01 20.8 +27 44 57         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2448 |   1478.36|OMHR 142265                          |WD*|12 58 20.477 +28 13 57.19    |     ~|19.21 |18.97 |18.88 |18.89 |DA             |   2|   0
2449 |   1478.43|GMP 2521                             |G  |13 00 42.469 +28 20 26.20    |     ~|21.52 |20.81 |20.31 |19.76 |~              |   2|   0
2450 |   1479.73|2MASX J13004423+2820146              |GiC|13 00 44.231 +28 20 14.64    |15.84 |15.6  |14.53 |     ~|     ~|~              |  25|   0
2451 |   1480.64|GMP 3924                             |G  |12 58 53.851 +28 20 20.80    |     ~|22.60 |21.42 |20.53 |19.94 |~              |   2|   0
2452 |   1481.12|CAIRNS J125758.47+275443.7           |GiC|12 57 58.48 +27 54 43.7      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2453 |   1481.66|CAIRNS J125907.03+282145.3           |GiC|12 59 07.03 +28 21 45.4      |     ~|     ~|     ~|     ~|     ~|~              |   3|   0
2454 |   1482.81|LEDA 83707                           |GiC|12 57 56.796 +27 59 30.31    |     ~|16    |     ~|     ~|     ~|~              |  10|   0
2455 |   1482.88|GMP 2321                             |G  |13 01 02.0 +28 17 32         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2456 |   1483.47|GMP 4305                             |GiC|12 58 22.262 +28 14 34.90    |     ~|20.29 |18.77 |17.95 |17.35 |~              |   2|   0
2457 |   1483.59|2MASX J12583376+2740287              |GiC|12 58 33.761 +27 40 28.71    |     ~|     ~|     ~|     ~|     ~|~              |   3|   0
2458 |   1483.94|SDSSCGB 55313.1                      |G  |12 58 22.215 +28 14 34.89    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2459 |   1484.13|[APD2000] J130114.2+281451           |IR |13 01 14.172 +28 14 51.20    |     ~|20.44 |19.01 |18.06 |     ~|~              |   2|   0
2460 |   1484.32|2MASX J12580243+2751015              |GiC|12 58 02.439 +27 51 01.51    |     ~|     ~|15.70 |     ~|     ~|~              |   1|   0
2461 |   1485.19|GMP 4563                             |GiC|12 57 57.2 +27 56 17         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2462 |   1485.20|SDSSCGB 55313                        |CGG|12 58 22.6 +28 14 43         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2463 |   1485.87|2MASS J13011756+2813584              |IR |13 01 17.57 +28 13 58.4      |     ~|14.600|     ~|14.100|     ~|~              |   1|   0
2464 |   1486.15|EGGR 94                              |WD*|12 59 46.66 +27 34 04.1      |     ~|15.68 |15.39 |15.0  |14.9  |DAZ5.9         |  32|   0
2465 |   1486.31|[APD2000] J130114.5+281449           |IR |13 01 14.542 +28 14 48.80    |     ~|20.95 |19.37 |18.44 |     ~|~              |   2|   0
2466 |   1486.88|[APD2000] J130115.1+281442           |G  |13 01 15.091 +28 14 41.00    |     ~|20.51 |19.41 |18.88 |     ~|~              |   3|   0
2467 |   1487.18|GMP 4443                             |G  |12 58 09.0 +28 10 16         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2468 |   1489.21|GMP 3444                             |G  |12 59 27.660 +28 23 13.00    |     ~|23.95 |23.78 |23.12 |22.16 |~              |   2|   0
2469 |   1489.54|GMP 4561                             |GiC|12 57 57.3 +27 55 30         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2470 |   1489.57|DSW 2                                |G  |12 59 45.6 +27 34 01         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2471 |   1490.37|2MASX J12580168+2751125              |GiC|12 58 01.685 +27 51 12.51    |     ~|     ~|     ~|     ~|     ~|~              |   8|   0
2472 |   1493.06|2MASS J13012719+2746464              |UV |13 01 27.20 +27 46 46.4      |     ~|17.75 |17.40 |16.800|     ~|~              |   0|   0
2473 |   1493.25|CAIRNS J125930.74+273415.9           |GiC|12 59 30.74 +27 34 15.9      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
2474 |   1493.58|2MASX J13012734+2810556              |GiC|13 01 27.341 +28 10 55.70    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2475 |   1493.94|SDSSCGB 55313.3                      |G  |12 58 22.642 +28 14 57.24    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2476 |   1494.13|GMP 3385                             |G  |12 59 31.7 +27 34 13         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2477 |   1494.22|SDSSCGB 55313.2                      |G  |12 58 22.445 +28 14 54.59    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2478 |   1494.63|GMP 4483                             |G  |12 58 05.087 +27 49 00.72    |     ~|     ~|     ~|18.70 |18.03 |~              |   2|   0
2479 |   1494.88|GMP 2036                             |G  |13 01 28.1 +28 10 40         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2480 |   1496.38|[ABD2005] G4                         |GrG|13 01 25.6 +27 46 03         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2481 |   1496.45|SN 1963M                             |SN*|12 57 57.76 +28 03 35.1      |     ~|15.7  |15.7  |     ~|     ~|SN.I:          |   5|   1
2482 |   1496.58|GMP 3819                             |G  |12 59 01.3 +28 21 29         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2483 |   1496.77|GMP 4569                             |G  |12 57 57.0 +27 55 07         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2484 |   1497.24|4W 1255+28W03                        |Rad|12 57 57.8 +28 03 42         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2485 |   1497.82|MCG+05-31-035                        |EmG|12 57 57.748 +28 03 41.50    |     ~|16    |     ~|     ~|     ~|~              |  27|   0
2486 |   1498.06|GMP 2540                             |G  |13 00 39.8 +28 21 07         |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
2487 |   1498.07|GMP 2407                             |G  |13 00 52.5 +27 38 14         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2488 |   1500.35|[APD2000] J130022.8+282241           |IR |13 00 22.8 +28 22 41         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2489 |   1500.64|GMP 2397                             |G  |13 00 53.7 +28 19 20         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2490 |   1501.40|2MASX J13005840+2739072              |GiC|13 00 58.407 +27 39 07.21    |16.96 |16    |15.75 |     ~|     ~|~              |   8|   0
2491 |   1503.23|[APD2000] J130107.9+281648           |IR |13 01 07.9 +28 16 48         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2492 |   1503.40|CAIRNS J130051.87+273801.9           |GiC|13 00 51.87 +27 38 01.9      |     ~|     ~|     ~|     ~|     ~|~              |   3|   0
2493 |   1504.16|GMP 3584                             |G  |12 59 17.930 +28 22 58.10    |     ~|19.93 |19.16 |18.66 |18.26 |~              |   2|   0
2494 |   1504.51|OMHR J125755.30+275711.7             |Q? |12 57 55.38 +27 57 11.7      |     ~|     ~|19.25 |     ~|     ~|~              |   0|   0
2495 |   1504.65|GMP 4442                             |GiC|12 58 09.522 +28 11 05.70    |     ~|18.50 |17.88 |17.25 |16.88 |~              |   2|   0
2496 |   1505.32|7W 1255+28W03                        |Rad|12 57 57.15 +28 03 40.1      |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2497 |   1505.60|[K94] 125644.24+275128.7             |Rad|12 59 09.22 +27 35 18.5      |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2498 |   1505.94|GMP 4500                             |G  |12 58 03.538 +27 49 20.39    |     ~|     ~|     ~|18.09 |17.66 |~              |   1|   0
2499 |   1506.09|2MASX J12583157+2740247              |GiC|12 58 31.578 +27 40 24.71    |17.05 |16    |15.77 |     ~|     ~|~              |  14|   0
2500 |   1506.30|Weis 62047                           |*  |12 59 55.0 +28 23 54         |     ~|13.58 |12.90 |     ~|     ~|~              |   0|   0
2501 |   1506.78|GMP 3028                             |G  |12 59 59.5 +28 23 50         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2502 |   1508.43|5C 4.112a                            |Rad|13 01 02.219 +28 18 03.15    |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2503 |   1508.43|[K94] 125815.47+264502.0             |Rad|13 01 02.219 +28 18 03.15    |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2504 |   1508.53|2MASS J12580222+2749576              |UV |12 58 02.22 +27 49 57.6      |     ~|18.00 |17.50 |17.100|     ~|~              |   0|   0
2505 |   1508.75|GMP 2052                             |G  |13 01 26.7 +28 11 41         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2506 |   1508.88|2XMM J130115.6+274236                |X  |13 01 15.605 +27 42 36.27    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2507 |   1508.93|GMP 4323                             |G  |12 58 20.8 +27 42 52         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2508 |   1511.60|CAIRNS J125805.14+280927.3           |GiC|12 58 05.14 +28 09 27.3      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
2509 |   1511.69|2XMM J125926.2+282332                |AG?|12 59 26.206 +28 23 32.15    |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
2510 |   1511.76|Weis 63130                           |*  |13 01 41.4 +28 02 51         |     ~|14.06 |13.43 |     ~|     ~|G3III-IV       |   0|   0
2511 |   1514.08|LEDA 126844                          |GiC|12 57 59.892 +27 51 08.99    |     ~|     ~|19.21 |     ~|     ~|~              |   3|   0
2512 |   1515.10|CAIRNS J125855.75+282113.6           |GiC|12 58 55.75 +28 21 13.6      |     ~|19.72 |     ~|18.09 |     ~|~              |   4|   0
2513 |   1516.70|CAIRNS J130009.69+273359.1           |GiC|13 00 09.69 +27 33 59.1      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
2514 |   1516.80|2MASX J12581682+2743467              |GiC|12 58 16.820 +27 43 46.71    |17.46 |     ~|16.44 |     ~|     ~|~              |   6|   0
2515 |   1516.89|2MASX J12580349+2748535              |GiC|12 58 03.494 +27 48 53.51    |     ~|15.7  |     ~|     ~|     ~|~              |  21|   0
2516 |   1517.01|2XMM J130135.8+280747                |X  |13 01 35.846 +28 07 48.18    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2517 |   1517.85|[K94] 125846.51+283437.4             |IR |13 01 02.8 +28 18 09         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2518 |   1518.02|GMP 2241                             |G  |13 01 10.4 +28 16 36         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2519 |   1519.72|2XMM J125848.3+282023                |X  |12 58 48.386 +28 20 23.58    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2520 |   1519.78|GMP 3865                             |G  |12 58 59.125 +27 35 59.98    |     ~|20.16 |19.42 |18.69 |18.34 |~              |   2|   0
2521 |   1519.97|GMP 4227                             |G  |12 58 30.2 +28 17 20         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2522 |   1520.55|GMP 1921                             |G  |13 01 40.8 +28 04 20         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2523 |   1522.73|GMP 1890                             |G  |13 01 43.2 +28 01 08         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2524 |   1523.26|GMP 2248                             |G  |13 01 09.3 +27 40 45         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2525 |   1524.17|[K94] 125613.95+275449.4             |Rad|12 58 38.98 +27 38 38.6      |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2526 |   1524.38|Weis 62013                           |*  |13 00 04.5 +28 24 00         |     ~|14.68 |12.95 |     ~|     ~|K6IV           |   1|   0
2527 |   1524.88|GMP 2741                             |GiC|13 00 21.1 +27 34 27         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2528 |   1525.83|GMP 4529                             |G  |12 58 00.9 +27 49 55         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2529 |   1526.28|GMP 4110                             |G  |12 58 37.980 +28 18 56.10    |     ~|18.40 |17.62 |17.04 |     ~|~              |   3|   0
2530 |   1527.67|2XMM J125939.2+282412                |X  |12 59 39.168 +28 24 12.46    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2531 |   1528.06|HZ 38                                |HS*|12 59 21.25 +27 34 06.0      |     ~|13.9  |     ~|     ~|     ~|sdOA           |   5|   0
2532 |   1528.60|[HHM2010] 194.74507+27.59786         |GiC|12 58 58.824 +27 35 52.11    |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
2533 |   1529.15|GMP 3158                             |G  |12 59 47.1 +28 24 19         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2534 |   1529.68|GMP 1917                             |G  |13 01 41.2 +28 04 38         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2535 |   1529.71|CAIRNS J130138.00+275039.0           |GiC|13 01 38.00 +27 50 39.0      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2536 |   1530.41|2MASS J13000427+2824064              |*  |13 00 04.277 +28 24 06.49    |     ~|14.63 |13.18 |     ~|     ~|~              |   1|   0
2537 |   1530.42|GMP 4558                             |G  |12 57 57.5 +28 05 48         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2538 |   1530.45|2MASS J13010661+2817415              |IR |13 01 06.61 +28 17 41.5      |     ~|16.300|     ~|15.900|     ~|~              |   1|   0
2539 |   1530.54|GMP 3890                             |G  |12 58 57.140 +27 36 00.90    |     ~|20.70 |19.62 |18.97 |18.36 |~              |   2|   0
2540 |   1531.69|2MASX J13013521+2808487              |GiC|13 01 35.211 +28 08 48.74    |     ~|17.0  |     ~|     ~|     ~|~              |   6|   0
2541 |   1532.57|[APD2000] J130018.8+282330           |IR |13 00 18.8 +28 23 30         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2542 |   1535.67|GMP 4594                             |G  |12 57 53.5 +27 56 01         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2543 |   1536.66|GMP 4485                             |GiC|12 58 05.068 +27 47 21.89    |     ~|     ~|     ~|17.62 |17.03 |~              |   1|   0
2544 |   1537.37|GMP 3207                             |G  |12 59 43.8 +28 24 26         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2545 |   1537.62|2MASS J13001726+2823404              |IR |13 00 17.27 +28 23 40.5      |     ~|15.100|     ~|14.000|     ~|~              |   1|   0
2546 |   1538.35|[APD2000] J130020.8+282328           |IR |13 00 20.812 +28 23 28.60    |     ~|22.12 |20.63 |19.23 |18.36 |~              |   2|   0
2547 |   1539.92|GMP 4515                             |GiC|12 58 02.497 +27 48 26.30    |     ~|     ~|     ~|17.75 |17.18 |~              |   1|   0
2548 |   1541.58|GMP 4606                             |GiC|12 57 52.47 +27 57 35.9      |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2549 |   1542.02|GMP 2016                             |G  |13 01 30.3 +28 11 25         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
2550 |   1542.73|2MASX J12585812+2735409              |G  |12 58 58.121 +27 35 40.93    |16.42 |15    |15.02 |     ~|     ~|~              |  23|   0
2551 |   1542.75|2MASS J13005090+2820351              |IR |13 00 50.91 +28 20 35.1      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2552 |   1544.40|GMP 4603                             |G  |12 57 52.5 +28 00 59         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
