C.D.S.  -  SIMBAD4 rel 1.6  -  2018.05.13CEST19:32:07

*
-

Number of objects : 10000  (truncated to 10000 objects)

  #  |                 typed ident                  |                  identifier                  |typ|  coord1 (ICRS,J2000/2000)   |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib|#not
-----|----------------------------------------------|----------------------------------------------|---|-----------------------------|------|------|------|------|------|---------------------|----|----
1249 |[SMM2006] SPG  16                             |BD-22 923                                     |PM*|04 49 15.10057 -22 38 06.9924|     ~|     ~| 9.990|     ~|     ~|~                    |   5|   0
1250 |[SMM2006] SPG 236                             |G 72-6                                        |PM*|01 25 12.79 +27 41 06.5      |     ~|14.60 |13.60 |12.4  |12.2  |G0                   |   3|   0
1251 |[SMM2006] SPG 350                             |G 149-96                                      |PM*|13 31 17.23 +21 48 06.5      |     ~|14.37 |13.61 |13.5  |12.1  |~                    |   5|   0
1252 |[MPR2003] HI Ring                             |[MPR2003] HI Ring                             |HI |21 42 59.6 +66 06 56         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
1253 |[SMM2006] SPG 269                             |2MASS J05263644+3444468                       |SB*|05 26 36.45 +34 44 46.9      |     ~|12.3  |11.79 |11.5  |11.1  |sd:G0                |   9|   0
1254 |[SMM2006] SPG  41                             |LP 558-2                                      |PM*|13 33 02.40 +07 57 16.3      |     ~|13.19 |12.70 |12.2  |11.6  |~                    |   4|   0
1255 |[SMM2006] SPG 385                             |Ross 825                                      |** |21 11 17.05579 +33 31 27.2904|     ~|13.04 |11.92 |10.6  |     ~|K3                   |   7|   0
1256 |[SMM2006] SPG 291                             |G 99-2                                        |PM*|05 20 09.37 -02 39 40.8      |     ~|13.6  |12.74 |     ~|     ~|~                    |   3|   0
1257 |[SMM2006] SPG  32                             |LP 487-27                                     |PM*|09 19 08.351 +13 07 39.09    |     ~|12.967|12.563|12.278|11.979|~                    |   8|   0
1258 |[SMM2006] SPG 331                             |G 128-45                                      |PM*|23 17 59.89 +31 31 58.5      |     ~|12.1  |11.75 |11.1  |10.4  |K2                   |   5|   0
1259 |[CGM97] NGC 3351 Core                         |[CGM97] NGC 3351 Core                         |PoG|10 46 35.86 +11 26 24.6      |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
1260 |[SMM2006] SPG 198                             |Ross 99                                       |PM*|10 35 22.97 +07 31 13.4      |     ~|13.32 |12.39 |11.7  |11.2  |K2                   |   3|   0
1261 |[SMM2006] SPG  57                             |LP 666-38                                     |PM*|09 04 48.96 -08 16 57.5      |     ~|13.64 |13.01 |     ~|     ~|~                    |   3|   0
1262 |[SMM2006] SPG 280                             |G 95-16                                       |PM*|03 14 21.067 +34 43 27.89    |     ~|12.7  |12.15 |11.9  |11.0  |~                    |   5|   0
1263 |[SMM2006] SPG 152                             |LHS 6330                                      |PM*|18 13 52.10 -08 38 32.3      |     ~|13.25 |12.25 |     ~|     ~|K0V:                 |   5|   0
1264 |[SMM2006] SPG 148                             |G 19-25                                       |PM*|17 25 59.00 -02 44 27.6      |     ~|12.41 |11.64 |     ~|     ~|~                    |  11|   0
1265 |[SMM2006] SPG 136                             |G 13-29                                       |PM*|12 19 19.534 +02 26 35.42    |     ~|11.97 |11.06 |10.2  | 9.6  |K3                   |   6|   0
1266 |[LAB95] ACO 1020 G1                           |[LAB95] ACO 1020 G1                           |GiC|10 26 59.98 +10 22 12.7      |     ~|     ~|     ~|     ~|     ~|~                    |   3|   1
1267 |[LG92] MS 1621.5+2640 Arc                     |[LG92] MS 1621.5+2640 Arc                     |LeI|No Coord.                    |     ~|23.1  |     ~|     ~|     ~|~                    |   3|   0
1268 |[DKS2007] W75N-E                              |[DKS2007] W75N-E                              |IR |20 38 47.28 +42 38 02.0      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
1269 |[SMM2006] SPG 166                             |G 28-48                                       |PM*|23 13 00.519 +01 48 11.49    |     ~|11.97 |11.07 |10.5  |10.1  |K1:                  |  10|   0
1270 |[FHT2015] N159W-N                             |[FHT2015] N159W-N                             |MoC|05 39 37.56 -69 45 25.3      |     ~|     ~|     ~|     ~|     ~|~                    |   4|   0
1271 |[SMM2006] SPG 357                             |G 159-48                                      |PM*|02 13 40.22 -00 05 18.4      |     ~|13.2  |12.178|     ~|     ~|~                    |   4|   0
1272 |[SMM2006] SPG 288                             |G 98-32                                       |PM*|05 59 06.47 +34 38 18.0      |     ~|16.0  |14.89 |14.6  |13.5  |~                    |   4|   0
1273 |[SMM2006] SPG 342                             |G 141-15                                      |PM*|18 31 50.51 +08 35 58.4      |     ~|13.58 |12.83 |12.9  |     ~|~                    |   9|   0
1274 |[HJH2006] CG 12-N                             |[HJH2006] CG 12-N                             |MoC|13 57 39.5 -39 56 18         |     ~|     ~|     ~|     ~|     ~|~                    |   3|   0
1275 |[SMM2006] SPG 118                             |BD+11 468                                     |PM*|03 24 50.36391 +12 15 23.7178|11.16 |11.314|10.749|10.394|10.038|G0V                  |  33|   0
1276 |[HRB81] W75N(H2O)                             |[HRB81] W75N(H2O)                             |Rad|20 38 36.88 +42 37 36.6      |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
1277 |[SMM2006] SPG  59                             |LP 673-106                                    |PM*|11 36 34.81 -08 29 55.8      |     ~|12.86 |12.37 |     ~|     ~|~                    |   2|   0
1278 |[SMM2006] SPG  66                             |LP 714-40                                     |PM*|04 12 06.81 -10 34 13.2      |     ~|     ~|12.65 |     ~|     ~|~                    |   2|   0
1279 |[SST93] CE Leo CH                             |TYC 1985-1274-1                               |*  |11 44 01.619 +23 22 38.10    |     ~|12.68 |12.56 |     ~|     ~|~                    |   3|   0
1280 |[SMM2006] SPG 213                             |G 66-8                                        |PM*|14 35 07.81 +04 21 20.8      |     ~|14.4  |13.41 |13.0  |12.9  |K3                   |   4|   0
1281 |[SMM2006] SPG 326                             |2MASS J12132996+4710062                       |SB*|12 13 29.96 +47 10 06.2      |     ~|13.33 |12.83 |12.7  |11.5  |~                    |   7|   0
1282 |[SMM2006] SPG 321                             |G 117-64                                      |PM*|10 01 22.79 +28 46 02.5      |     ~|13.73 |12.98 |12.7  |11.0  |~                    |   6|   0
1283 |[SMM2006] SPG  91                             |LP 833-20                                     |PM*|03 57 54.54 -25 33 34.2      |     ~|13.58 |12.89 |     ~|     ~|~                    |   3|   0
1284 |[KCE2001] East Relic                          |[KCE2001] East Relic                          |Rad|09 09 36.0 -09 43 24         |     ~|     ~|     ~|     ~|     ~|~                    |   2|   0
1285 |[SMM2006] SPG  37                             |LP 553-42                                     |PM*|11 47 34.824 +06 45 24.54    |     ~|12.55 |12.35 |12.2  |12.2  |~                    |   4|   0
1286 |[SMM2006] SPG  95                             |LP 877-25                                     |PM*|22 53 29.975 -23 54 47.27    |     ~|11.57 |11.25 |     ~|     ~|~                    |   4|   0
1287 |[SMM2006] SPG 161                             |LHS 3897                                      |PM*|23 05 47.67 -02 10 41.1      |     ~|13.97 |12.95 |     ~|     ~|K3                   |   3|   0
1288 |[DRL2005b] 06035-7102E                        |[DRL2005b] 06035-7102E                        |GiP|06 02 54.0 -71 03 12         |     ~|     ~|     ~|     ~|     ~|~                    |   3|   1
1289 |[SMM2006] SPG 292                             |2MASS J05434372+0335072                       |SB*|05 43 43.73 +03 35 07.3      |     ~|13.95 |13.29 |13.3  |12.9  |~                    |   5|   0
1290 |[SMM2006] SPG 203                             |G 57-19                                       |PM*|11 47 55.60 +14 53 55.2      |     ~|13.16 |12.30 |12.2  |10.9  |~                    |   4|   0
1291 |[SMM2006] SPG 163                             |G 28-42                                       |PM*|23 09 21.94 +07 01 14.1      |     ~|12.86 |12.24 |11.8  |10.9  |~                    |   6|   0
1292 |KHW North                                     |NAME OMC 1N                                   |PoC|05 35 14.5 -05 22 07         |     ~|     ~|     ~|     ~|     ~|~                    |  13|   1
1293 |[GMA98] St                                    |[GMA98] St                                    |Rad|No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   2|   0
1294 |[SMM2006] SPG 122                             |Wolf 364                                      |PM*|11 10 02.635 -02 47 25.93    |     ~|13.414|12.589|11.963|11.457|K2                   |  11|   0
1295 |[SMM2006] SPG  25                             |LP 430-51                                     |PM*|10 38 02.24 +14 08 37.3      |     ~|13.34 |12.84 |12.5  |11.5  |~                    |   3|   0
1296 |[SMM2006] SPG 233                             |HD 11505                                      |PM*|01 53 06.19845 -01 19 36.9947|     ~| 8.05 | 7.42 |     ~|     ~|G5V                  |  52|   0
1297 |[CSB2000] UN J1025-0040 C                     |[CSB2000] UN J1025-0040 C                     |G  |10 25 00.7 -00 40 49         |     ~|     ~|     ~|     ~|     ~|~                    |   2|   0
1298 |[SMM2006] SPG 182                             |G 35-1                                        |PM*|01 36 56.78 +24 45 07.1      |     ~|13.25 |12.61 |11.9  |11.4  |~                    |   3|   0
1299 |[SMM2006] SPG 322                             |G 120-15                                      |PM*|11 06 20.517 +31 12 50.63    |     ~|11.93 |11.93 |11.9  |11.9  |~                    |   7|   0
1300 |[BBR2015] 0                                   |SB-WF 1837-0773                               |*  |22 32 57.0785 -60 34 05.640  |20.984|19.224|19.310|     ~|18.712|A3-A4                |   7|   0
1301 |[SMM2006] SPG 270                             |Ross 405                                      |PM*|05 29 54.52 +32 57 18.5      |     ~|13.74 |12.88 |12.7  |12.6  |K1                   |   4|   0
1302 |[SMM2006] SPG 395                             |Wolf 481                                      |PM*|13 20 31.28 +56 34 48.3      |     ~|13.38 |12.63 |13.2  |12.6  |~                    |   7|   0
1303 |[SMM2006] SPG 254                             |G 82-42                                       |PM*|04 42 00.005 -04 16 46.09    |     ~|13.058|12.444|12.057|11.687|~                    |   9|   0
1304 |[SMM2006] SPG  74                             |LP 755-45                                     |PM*|20 40 28.80 -09 18 44.2      |     ~|12.65 |12.17 |     ~|     ~|~                    |   2|   0
1305 |[SMM2006] SPG 341                             |LHS 3357                                      |PM*|18 06 47.74 +10 52 33.6      |     ~|13.45 |12.49 |12.0  |11.2  |~                    |   4|   0
1306 |[K76] 3C 303E                                 |[K76] 3C 303E                                 |Rad|No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   1|   1
1307 |[SMM2006] SPG  27                             |LP 439-450                                    |PM*|14 18 35.58 +19 38 06.0      |     ~|12.46 |11.93 |11.5  |11.0  |~                    |   3|   0
1308 |[SMM2006] SPG  31                             |LP 467-45                                     |PM*|01 20 17.37 +12 28 50.1      |     ~|12.79 |12.26 |12.4  |11.4  |~                    |   3|   0
1309 |[SMM2006] SPG 202                             |BD+00 2627                                    |SB*|10 12 29.87242 -00 38 13.5615|     ~|10.92 |10.25 |     ~|     ~|~                    |  17|   0
1310 |[SMM2006] SPG 262                             |G 84-16                                       |PM*|04 53 17.237 -03 57 45.54    |     ~|14.165|13.441|13.005|12.576|~                    |   6|   0
1311 |[W91] Arm                                     |[W91] Arm                                     |PoC|04 30 42.7 +64 51 01         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
1312 |[SDV2005]   0                                 |[SDV2005] 0                                   |GiC|12 32 15.0 +10 56 24         |     ~|     ~|     ~|     ~|     ~|~                    |   2|   0
1313 |[SMM2006] SPG 196                             |Ross 890                                      |PM*|09 49 51.585 +06 36 35.64    |     ~|13.18 |12.52 |12.2  |12.0  |~                    |  11|   0
1314 |[LZK2016] G192N                               |[LZK2016] G192N                               |Y*O|05 29 54.16 +12 16 53.1      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
1315 |[SMM2006] SPG 332                             |G 128-58                                      |PM*|23 25 29.72 +30 06 25.3      |     ~|12.5  |12.05 |11.6  |11.0  |~                    |   6|   0
1316 |[SMM2006] SPG 310                             |G 113-49                                      |PM*|08 35 12.38 +03 27 59.4      |     ~|13.31 |12.56 |12.6  |     ~|~                    |   7|   0
1317 |[SMM2006] SPG 275                             |G 89-21                                       |PM*|07 28 30.03 +08 08 17.1      |     ~|14.06 |13.30 |13.0  |     ~|~                    |   5|   0
1318 |[G70] Np                                      |[G70] Np                                      |Rad|12 30 48.21 +12 23 33.9      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
1319 |[MLM91] IRAS 19254-7245 N                     |[MLM91] IRAS 19254-7245 N                     |GiP|19 31 21.3 -72 39 14         |     ~|     ~|     ~|     ~|     ~|~                    |   6|   1
1320 |[SMM2006] SPG 279                             |G 94-66                                       |PM*|02 25 53.76 +17 57 51.6      |     ~|14.32 |13.83 |13.7  |13.3  |~                    |   5|   0
1321 |[DZS2009] 0                                   |[DZS2009] 0                                   |Y*O|17 12 10.0 -38 31 59         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
1322 |[GFM2006] 0620-00 N                           |[GFM2006] 0620-00 N                           |Rad|06 22 44.577 -00 19 59.03    |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
1323 |[SMM2006] SPG 204                             |Ross 103                                      |SB*|10 46 40.13 +22 43 14.4      |     ~|13.6  |13.05 |12.6  |11.9  |~                    |  10|   0
1324 |[SMM2006] SPG  76                             |LP 770-71                                     |PM*|02 18 43.75 -19 31 58.3      |     ~|13.66 |12.97 |     ~|     ~|~                    |   2|   0
1325 |[SMM2006] SPG 171                             |HD 221822                                     |PM*|23 35 23.13980 +02 13 31.1781|     ~| 9.15 | 8.42 | 7.9  | 7.6  |G8V                  |  24|   0
1326 |[SOK2006b] Molecular Ridge N                  |[SOK2006b] Molecular Ridge N                  |PoC|No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
1327 |[YDP2008] LH850.02N                           |[IGD2007] Radio J105257.014+572108.31         |Rad|10 52 57.014 +57 21 08.31    |     ~|     ~|     ~|     ~|     ~|~                    |   2|   0
1328 |[SMM2006] SPG  34                             |LP 492-53                                     |PM*|11 23 54.66 +09 37 41.7      |     ~|13.45 |12.70 |12.0  |11.9  |~                    |   4|   0
1329 |[EAS91] Arc N                                 |[EAS91] Arc N                                 |LeI|No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
1330 |[SMM2006] SPG 147                             |Wolf 1033                                     |PM*|22 19 53.62 +05 25 47.3      |     ~|13.00 |12.48 |12.0  |     ~|~                    |  12|   0
1331 |[SMM2006] SPG 359                             |G 163-70                                      |PM*|11 17 37.97 +01 20 04.1      |     ~|12.6  |12.42 |11.9  |11.5  |sd:G0                |   6|   0
1332 |[SRA2015] IRAS16399N                          |[SRA2015] IRAS16399N                          |LIN|16 42 40.180 -09 43 13.26    |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
1333 |[SMM2006] SPG 338                             |GJ 2118                                       |SB*|16 10 52.764 +13 16 16.80    |     ~|13.330|12.836|12.502|12.149|~                    |  11|   0
1334 |[SMM2006] SPG  58                             |LP 668-44                                     |PM*|09 33 29.703 -04 41 13.37    |     ~|12.535|12.090|11.759|11.423|~                    |   5|   0
1335 |[SMM2006] SPG 210                             |V* HZ Vir                                     |Fl*|13 59 51.86 -05 22 55.6      |     ~|13.08 |11.7  |     ~|     ~|~                    |   4|   0
1336 |[SMM2006] SPG 201                             |G 53-24                                       |PM*|10 07 15.896 +00 17 50.92    |     ~|12.68 |11.74 |10.7  |10.1  |K2                   |   6|   0
1337 |[SMM2006] SPG 258                             |Ross 381                                      |PM*|04 55 33.238 +16 12 43.74    |     ~|14.161|13.409|12.921|12.423|~                    |   8|   0
1338 |[SMM2006] SPG  35                             |LP 500-6                                      |PM*|14 20 34.315 +13 13 10.73    |     ~|12.25 |11.87 |11.6  |11.5  |~                    |   4|   0
1339 |[SMM2006] SPG 208                             |G 62-67                                       |PM*|13 44 36.532 -03 08 41.87    |     ~|13.733|13.166|12.783|12.405|~                    |   5|   0
1340 |[SMM2006] SPG 283                             |BD+44 1078                                    |PM*|05 02 11.285 +45 02 17.43    |     ~|10.72 | 9.86 | 9.3  | 8.9  |K                    |   6|   0
1341 |[SMM2006] SPG 401                             |G 206-23                                      |PM*|18 21 35.84 +34 49 02.3      |     ~|12.4  |12.09 |11.7  |11.3  |~                    |   8|   0
1342 |[SMM2006] SPG 302                             |G 103-50                                      |PM*|06 40 09.46 +28 27 00.9      |     ~|12.93 |12.07 |10.9  |10.3  |~                    |   6|   0
1343 |[SMM2006] SPG 101                             |G 2-25                                        |PM*|01 10 43.05 +13 06 25.3      |     ~|14.37 |13.39 |13.2  |13.0  |~                    |   3|   0
1344 |[FCM84] M17 N-Bar                             |[FCM84] M17 N-Bar                             |?  |No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   4|   0
1345 |[BKS96] OB  0                                 |[BKS96] OB 0                                  |As*|No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
1346 |[CSH96] SSA 13   0                            |[CSH96] SSA 13 0                              |G  |13 12 31.80 +42 43 46.2      |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
1347 |[VMF2005] S0                                  |[VMF2005] S0                                  |*  |No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
1348 |[RDL2005] S0                                  |[RDL2005] S0                                  |SN*|15 34 57.2069 +23 30 11.357  |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
1349 |LCG SSA 13-00                                 |LCG SSA 13-00                                 |G  |13 12 16.05 +42 44 38.5      |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
1350 |HBK   0-0                                     |HBK 0-0                                       |GlC|No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
1351 |GEN# +0.00000000                              |GEN# +0.00000000                              |*  |No Coord.                    |     ~|12.79 |11.39 |     ~|     ~|~                    |   0|   0
1352 |MSH 00+0-07                                   |PKS 0030+06                                   |Rad|00 33 06.0 +06 28 00         |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
1353 |MSH 00+0-09                                   |MSH 00+0-09                                   |Rad|00 36 36.0 +00 12 00         |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
1354 |MSH 00+0-17                                   |MSH 00+0-17                                   |Rad|01 02 22.0 +04 55 30         |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
1355 |OH   0.0   -0.1                               |OH 0.0 -0.1                                   |Mas|17 46 12.0 -28 59 00         |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
1356 |OH   0.00  -0.14                              |OH 0.00 -0.14                                 |Mas|17 46 10.3 -29 00 51         |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
1357 |OH   0.0   +0.3                               |OH 0.0 +0.3                                   |OH*|17 44 14.95 -28 45 06.0      |     ~|     ~|     ~|     ~|     ~|~                    |   7|   0
1358 |GW 000.0-1.4                                  |GW 000.0-1.4                                  |HI |No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
1359 |DCld 000.0-18.9                               |DCld 000.0-18.9                               |DNe|19 06 51.0 -37 13 42         |     ~|     ~|     ~|     ~|     ~|~                    |   3|   0
1360 |MGCS 000.0-00.89                              |[CC74] 174600.1-292307                        |Rad|17 49 11.5 -29 24 01         |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
1361 |[SKM2002] G000.0-1.3                          |[SKM2002] G000.0-1.3                          |X  |No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   2|   0
1362 |[DVR2000] WN J0000+4654                       |[DVR2000] WN J0000+4654                       |Rad|00 00 28.88 +46 54 40.7      |     ~|     ~|     ~|     ~|     ~|~                    |   2|   0
1363 |[DVS2002] WN J0000+4654 A(IR)                 |[DVS2002] WN J0000+4654 A(IR)                 |*  |00 00 29.25 +46 54 53.8      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
1364 |GSC2 N00012134983                             |GSC2 N00012134983                             |BiC|23 58 15.11 +15 05 43.6      |     ~|16.05 |     ~|14.08 |     ~|~                    |   5|   1
1365 |GAL 000.0-00.1                                |GAL 000.0-00.1                                |~  |17 45 42.0 -29 00 30         |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
1366 |HVC 000.0-59.4-114                            |HVC 000.0-59.4-114                            |HVC|22 36 30.0 -39 42 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
1367 |[RMB2008] G000.0000-00.4342                   |2MASS J17471908-2909424                       |AB?|17 47 19.084 -29 09 42.45    |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
1368 |CPC  0    56                                  |HD 734A                                       |PM*|00 11 30.826 -49 37 45.49    |     ~| 9.92 | 9.15 | 9.59 |     ~|~                    |   1|   0
1369 |LDSS 00.2.01                                  |LEDA 138285                                   |G  |00 57 34.40 -27 27 02.6      |     ~|20.92 |     ~|     ~|     ~|~                    |   2|   0
1370 |LDSS 00.2.03                                  |LDSS 00.2.03                                  |G  |00 57 21.15 -27 23 42.1      |     ~|21.22 |     ~|     ~|     ~|~                    |   0|   0
1371 |LDSS 00.2.04                                  |LDSS 00.2.04                                  |G  |00 57 34.72 -27 25 06.6      |     ~|21.24 |     ~|     ~|     ~|~                    |   0|   0
1372 |LDSS 00.2.05                                  |LDSS 00.2.05                                  |G  |00 57 21.88 -27 24 18.9      |     ~|21.34 |     ~|     ~|     ~|~                    |   0|   0
1373 |LDSS 00.2.06                                  |LDSS 00.2.06                                  |*  |00 57 28.31 -27 28 11.4      |     ~|21.37 |     ~|     ~|     ~|~                    |   0|   0
1374 |LDSS 00.2.07                                  |LDSS 00.2.07                                  |*  |00 57 06.99 -27 25 17.3      |     ~|21.40 |     ~|     ~|     ~|~                    |   0|   0
1375 |LDSS 00.2.08                                  |LDSS 00.2.08                                  |G  |00 57 24.11 -27 31 26.5      |     ~|21.48 |     ~|     ~|     ~|~                    |   0|   0
1376 |LDSS 00.2.09                                  |LDSS 00.2.09                                  |*  |00 57 17.46 -27 22 58.7      |     ~|21.51 |     ~|     ~|     ~|~                    |   0|   0
1377 |LDSS 00.2.10                                  |LDSS 00.2.10                                  |*  |00 57 30.20 -27 30 43.4      |     ~|21.53 |     ~|     ~|     ~|~                    |   0|   0
1378 |LDSS 00.2.12                                  |LEDA 138282                                   |G  |00 57 25.46 -27 24 35.5      |     ~|21.62 |     ~|     ~|     ~|~                    |   2|   0
1379 |LDSS 00.2.14                                  |LDSS 00.2.14                                  |G  |00 57 26.21 -27 33 29.8      |     ~|21.73 |     ~|     ~|     ~|~                    |   0|   0
1380 |LDSS 00.2.15                                  |LDSS 00.2.15                                  |*  |00 57 07.02 -27 29 16.4      |     ~|21.75 |     ~|     ~|     ~|~                    |   0|   0
1381 |LDSS 00.2.17                                  |LDSS 00.2.17                                  |G  |00 57 13.80 -27 23 23.9      |     ~|21.78 |     ~|     ~|     ~|~                    |   0|   0
1382 |LDSS 00.2.18                                  |LDSS 00.2.18                                  |G  |00 57 15.87 -27 32 14.6      |     ~|21.79 |     ~|     ~|     ~|~                    |   0|   0
1383 |LDSS 00.2.20                                  |LDSS 00.2.20                                  |G  |00 57 29.92 -27 31 13.1      |     ~|21.82 |     ~|     ~|     ~|~                    |   0|   0
1384 |LDSS 00.2.21                                  |LDSS 00.2.21                                  |*  |00 57 18.41 -27 33 03.5      |     ~|21.92 |     ~|     ~|     ~|~                    |   0|   0
1385 |LDSS 00.2.22                                  |LDSS 00.2.22                                  |*  |00 57 22.12 -27 27 32.0      |     ~|22.00 |     ~|     ~|     ~|~                    |   0|   0
1386 |LDSS 00.2.23                                  |LDSS 00.2.23                                  |G  |00 57 19.63 -27 31 42.8      |     ~|22.01 |     ~|     ~|     ~|~                    |   0|   0
1387 |LDSS 00.2.24                                  |LDSS 00.2.24                                  |G  |00 57 14.73 -27 29 27.7      |     ~|22.02 |     ~|     ~|     ~|~                    |   0|   0
1388 |LDSS 00.2.27                                  |LDSS 00.2.27                                  |G  |00 57 19.19 -27 31 53.7      |     ~|22.12 |     ~|     ~|     ~|~                    |   0|   0
1389 |LDSS 00.2.28                                  |LDSS 00.2.28                                  |*  |00 56 56.63 -27 27 15.6      |     ~|22.13 |     ~|     ~|     ~|~                    |   0|   0
1390 |LDSS 00.2.29                                  |LDSS 00.2.29                                  |G  |00 57 30.64 -27 27 42.1      |     ~|22.14 |     ~|     ~|     ~|~                    |   0|   0
1391 |LDSS 00.2.31                                  |LDSS 00.2.31                                  |G  |00 57 12.26 -27 23 55.4      |     ~|22.18 |     ~|     ~|     ~|~                    |   0|   0
1392 |LDSS 00.2.32                                  |LDSS 00.2.32                                  |G  |00 56 58.98 -27 29 56.2      |     ~|22.22 |     ~|     ~|     ~|~                    |   0|   0
1393 |LDSS 00.2.33                                  |LDSS 00.2.33                                  |G  |00 57 16.30 -27 32 39.6      |     ~|22.24 |     ~|     ~|     ~|~                    |   0|   0
1394 |LDSS 00.2.35                                  |LDSS 00.2.35                                  |G  |00 57 21.86 -27 22 15.0      |     ~|22.33 |     ~|     ~|     ~|~                    |   0|   0
1395 |LDSS 00.2.36                                  |LDSS 00.2.36                                  |G  |00 57 03.99 -27 32 29.4      |     ~|22.34 |     ~|     ~|     ~|~                    |   0|   0
1396 |LDSS 00.2.37                                  |LDSS 00.2.37                                  |*  |00 57 14.31 -27 21 53.2      |     ~|22.36 |     ~|     ~|     ~|~                    |   0|   0
1397 |LDSS 00.2.38                                  |LDSS 00.2.38                                  |G  |00 56 52.07 -27 33 52.2      |     ~|22.38 |     ~|     ~|     ~|~                    |   0|   0
1398 |LDSS 00.2.39                                  |LDSS 00.2.39                                  |G  |00 57 17.50 -27 24 06.5      |     ~|22.38 |     ~|     ~|     ~|~                    |   0|   0
1399 |LDSS 00.2.40                                  |LDSS 00.2.40                                  |*  |00 57 31.56 -27 22 30.3      |     ~|22.38 |     ~|     ~|     ~|~                    |   0|   0
1400 |LDSS 00.2.43                                  |LDSS 00.2.43                                  |G  |00 57 09.51 -27 33 18.8      |     ~|22.48 |     ~|     ~|     ~|~                    |   0|   0
1401 |LDSS 00.2.44                                  |LDSS 00.2.44                                  |G  |00 57 15.26 -27 32 04.0      |     ~|22.51 |     ~|     ~|     ~|~                    |   0|   0
1402 |LDSS 00.2.45                                  |LEDA 138283                                   |G  |00 57 26.59 -27 30 24.3      |     ~|22.51 |     ~|     ~|     ~|~                    |   2|   0
1403 |LDSS 00.2.46                                  |LDSS 00.2.46                                  |G  |00 57 16.74 -27 31 00.1      |     ~|22.53 |     ~|     ~|     ~|~                    |   0|   0
1404 |LDSS 00.2.48                                  |LEDA 138281                                   |G  |00 57 20.25 -27 29 40.1      |     ~|22.63 |     ~|     ~|     ~|~                    |   2|   0
1405 |LDSS 00.2.49                                  |LDSS 00.2.49                                  |G  |00 57 17.12 -27 22 41.3      |     ~|22.63 |     ~|     ~|     ~|~                    |   0|   0
1406 |[GRA2000] HA 290.2-2.0                        |[GRA2000] HA 290.2-2.0                        |EmO|No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
1407 |[GRA2000] HA 290.3-0.3                        |[GRA2000] HA 290.3-0.3                        |EmO|No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
1408 |[GRA2000] HA 290.4-1.9                        |[GRA2000] HA 290.4-1.9                        |EmO|No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
1409 |[GRA2000] HA 290.5-1.5                        |[GRA2000] HA 290.5-1.5                        |EmO|No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
1410 |[GRA2000] HA 290.6-0.5                        |[GRA2000] HA 290.6-0.5                        |EmO|No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
1411 |[GRA2000] HA 291.2-0.2                        |[GRA2000] HA 291.2-0.2                        |EmO|No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
1412 |[GRA2000] HA 292.0-0.2                        |[GRA2000] HA 292.0-0.2                        |EmO|No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
