C.D.S.  -  SIMBAD4 rel 1.6  -  2018.05.13CEST19:32:07

*
-

Number of objects : 10000  (truncated to 10000 objects)

  #  |                 typed ident                  |                  identifier                  |typ|  coord1 (ICRS,J2000/2000)   |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib|#not
-----|----------------------------------------------|----------------------------------------------|---|-----------------------------|------|------|------|------|------|---------------------|----|----
35   |[MJ2006] J172000.6+480328.0                   |[MJ2006] J172000.6+480328.0                   |G  |17 20 00.6 +48 03 28         |     ~|     ~|     ~|21.3  |     ~|~                    |   1|   0
36   |[G93b] BD +41 3731 HH                         |[G93b] BD +41 3731 HH                         |HH |20 24 21.25 +42 17 48.3      |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
37   |[PAM2002] Q0459-6427                          |QSO J0459-6427                                |QSO|05 00 12.95 -64 23 44.1      |     ~|16.400|16.9  |16.600|     ~|~                    |   5|   0
38   |[MJ2006] J234636.9+093215.5                   |[MJ2006] J234636.9+093215.5                   |G  |23 46 36.9 +09 32 16         |     ~|     ~|     ~|19.9  |     ~|~                    |   1|   0
39   |[G93b] HK Ori HH                              |[G93b] HK Ori HH                              |HH |05 31 26.25 +12 10 52.6      |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
40   |[MJ2006] J091939.7+510644.6                   |[MJ2006] J091939.7+510644.6                   |G  |09 19 39.7 +51 06 45         |     ~|     ~|     ~|20.7  |     ~|~                    |   1|   0
41   |[FMR2009] East                                |[FMR2009] East                                |mm |16 58 17.247 -42 52 08.09    |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
42   |[FFO2009] F                                   |[FFO2009] F                                   |?  |01 18 44.4 -19 37 35         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
43   |[MJ2006] J041717.3-055647.4                   |[MJ2006] J041717.3-055647.4                   |G  |04 17 17.3 -05 56 47         |     ~|     ~|     ~|20.2  |     ~|~                    |   1|   0
44   |[MJ2006] J234625.2+092759.6                   |[MJ2006] J234625.2+092759.6                   |G  |23 46 25.2 +09 28 00         |     ~|     ~|     ~|19.6  |     ~|~                    |   1|   0
45   |[BFC81] 3C 293 Mid                            |[BFC81] 3C 293 Mid                            |Rad|13 52 17.79 +31 26 46.3      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
46   |[TSB2006]  43                                 |[TSB2006] 43                                  |G  |12 36 47.139 +62 12 12.61    |     ~|     ~|     ~|     ~|     ~|~                    |   5|   0
47   |[SM2006] W10868                               |[SM2006] W10868                               |V* |01 34 23.21 +30 44 31.7      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
48   |[MJ2006] J092008.1+510633.0                   |[MJ2006] J092008.1+510633.0                   |G  |09 20 08.1 +51 06 33         |     ~|     ~|     ~|20.0  |     ~|~                    |   1|   0
49   |[MJ2006] J100224.1+681617.9                   |[MJ2006] J100224.1+681617.9                   |G  |10 02 24.1 +68 16 18         |     ~|     ~|     ~|17.6  |     ~|~                    |   1|   0
50   |[ME95] Cyg 1-8-9                              |[ME95] Cyg 1-8-9                              |As*|No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
51   |[MJ2006] J002727.3+224333.2                   |[MJ2006] J002727.3+224333.2                   |G  |00 27 27.3 +22 43 33         |     ~|     ~|     ~|20.2  |     ~|~                    |   1|   0
52   |[MJ2006] J234649.1+092908.6                   |[MJ2006] J234649.1+092908.6                   |G  |23 46 49.1 +09 29 09         |     ~|     ~|     ~|19.2  |     ~|~                    |   1|   0
53   |[MJ2006] J171943.1+480553.2                   |[MJ2006] J171943.1+480553.2                   |G  |17 19 43.1 +48 05 53         |     ~|     ~|     ~|19.4  |     ~|~                    |   1|   0
54   |[FWS2005] HE 0226-4110 HVC                    |[FWS2005] HE 0226-4110 HVC                    |HVC|02 28 15.2 -40 57 10         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
55   |[MJ2006] J214752.4+065458.8                   |[MJ2006] J214752.4+065458.8                   |G  |21 47 52.4 +06 54 59         |     ~|     ~|     ~|19.7  |     ~|~                    |   1|   0
56   |[MJ2006] J092019.3+510858.4                   |[MJ2006] J092019.3+510858.4                   |G  |09 20 19.3 +51 08 58         |     ~|     ~|     ~|17.5  |     ~|~                    |   1|   0
57   |[MJ2006] J041702.9-055108.8                   |[MJ2006] J041702.9-055108.8                   |G  |04 17 02.9 -05 51 09         |     ~|     ~|     ~|19.7  |     ~|~                    |   1|   0
58   |[CG88] RNO-West                               |[CG88] RNO-West                               |IR |06 41 03.5 +09 36 05         |     ~|     ~|     ~|     ~|     ~|~                    |   5|   0
59   |[KMK2013] NGC3521sat                          |[KMK2013] NGC3521sat                          |G  |11 05 40.7 +00 07 15         |     ~|     ~|     ~|     ~|     ~|~                    |   2|   0
60   |[MJ2006] J234628.4+093218.9                   |[MJ2006] J234628.4+093218.9                   |G  |23 46 28.4 +09 32 19         |     ~|     ~|     ~|20.2  |     ~|~                    |   1|   0
61   |[HLV93]   0                                   |[HLV93] 0                                     |*  |10 57 32.0 -60 27 24         |     ~| 8.659|     ~|     ~|     ~|~                    |   0|   0
62   |[MJ2006] J234313.8-031936.0                   |[MJ2006] J234313.8-031936.0                   |G  |23 43 13.8 -03 19 36         |     ~|     ~|     ~|20.2  |     ~|~                    |   1|   0
63   |[MJ2006] J092011.0+510843.6                   |[MJ2006] J092011.0+510843.6                   |G  |09 20 11.0 +51 08 44         |     ~|     ~|     ~|19.8  |     ~|~                    |   1|   0
64   |[LWH2006] protostar                           |EM* LkHA 225                                  |Ae*|20 20 30.605 +41 21 26.67    |     ~|18.2  |19.17 |     ~|     ~|A4:Ve                |  37|   0
65   |[SM2006] W30974                               |VHK 66                                        |s?r|01 33 19.10 +30 36 42.3      |22.735|20.873|18.723|17.482|16.099|M3I                  |   3|   0
66   |[KH2005] Star a                               |[KH2005] Star a                               |*  |02 08 58.41 -74 24 44.5      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
67   |[WHW2005] J1459-0055 Arc                      |[WHW2005] J1459-0055 Arc                      |LeI|No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   1|   1
68   |[MJ2006] J041705.8-055053.5                   |[MJ2006] J041705.8-055053.5                   |G  |04 17 05.8 -05 50 53         |     ~|     ~|     ~|21.1  |     ~|~                    |   1|   0
69   |[SM2006] W10463                               |[SM2006] W10463                               |V* |01 34 07.54 +30 39 05.5      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
70   |GSW C'                                        |GSW C'                                        |PoG|11 28 31.02 +58 33 49.4      |     ~|     ~|     ~|     ~|     ~|~                    |  23|   0
71   |[MJ2006] J041704.1-055032.3                   |[MJ2006] J041704.1-055032.3                   |G  |04 17 04.1 -05 50 32         |     ~|     ~|     ~|21.2  |     ~|~                    |   1|   0
72   |[SM2006] W10272                               |[SM2006] W10272                               |V* |01 33 59.34 +30 44 21.5      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
73   |[BCH2007] HW2-SMA                             |[BCH2007] HW2-SMA                             |smm|22 56 17.999 +62 01 49.43    |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
74   |[DBC2004] R1                                  |[DBC2004] R1                                  |Rad|13 38 22.77 -19 42 30.0      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
75   |[MJ2006] J101020.6+412920.8                   |[MJ2006] J101020.6+412920.8                   |G  |10 10 20.6 +41 29 21         |     ~|     ~|     ~|18.6  |     ~|~                    |   1|   0
76   |[MJ2006] J234654.4+093023.0                   |[MJ2006] J234654.4+093023.0                   |G  |23 46 54.4 +09 30 23         |     ~|     ~|     ~|19.1  |     ~|~                    |   1|   0
77   |[MJ2006] J100344.9+681627.1                   |[MJ2006] J100344.9+681627.1                   |G  |10 03 44.9 +68 16 27         |     ~|     ~|     ~|19.5  |     ~|~                    |   1|   0
78   |[TPB2006] 125                                 |[TPB2006] 125                                 |NIR|10 43 24.80 -59 34 02.4      |     ~|     ~|     ~|     ~|     ~|~                    |   2|   0
79   |[SM2006] W30185                               |[SM2006] W30185                               |V* |01 33 01.70 +30 33 29.6      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
