[WTM2001] BCG                                 23.7733 0.733056
[BM2000] 0793.4+1025.8                        21.8937 17.6228
[BM2000] 0795.2+0400.8                        21.9129 17.7362
[BM2000] 0797.2+1089.5                        21.8981 17.6682
[BM2000] 0797.9+0196.6                        21.8743 17.7397
[BM2000] 0798.5+0496.3                        21.8743 17.6749
[BM2000] 0799.1+0227.4                        21.9128 17.6919
[BM2000] 0800.8+0250.7                        21.8937 17.6564
[BM2000] 0801.1+0204.0                        21.8937 17.6584
[BM2000] 0802.2+0288.9                        21.8788 17.7351
[BM2000] 0802.2+0295.5                        21.8788 17.6833
[BM2000] 0803.8+1154.2                        21.8891 17.6179
[BM2000] 0806.2+0970.2                        21.9173 17.6589
[BM2000] 0811.7+0403.0                        21.8789 17.7301
[BM2000] 0811.8+0265.4                        21.8982 17.7528
[BM2000] 0828.1+0369.2                        21.8789 17.7316
[BM2000] 0829.4+0189.9                        21.9129 17.6935
[BM2000] 0833.0+0138.5                        21.8789 17.7416
[BM2000] 0835.5+0120.0                        21.9085 17.7488
[BM2000] 0839.5+0079.7                        21.8938 17.6638
[BM2000] 0851.2+1016.8                        21.8939 17.6231
[BM2000] 0851.8+0366.0                        21.9175 17.7342
[BM2000] 0853.3+0977.0                        21.8893 17.6256
[BM2000] 0854.4+1119.2                        21.8699 17.7007
[BM2000] 0855.8+0826.4                        21.8789 17.6602
[BM2000] 0856.9+0505.6                        21.8984 17.6446
[BM2000] 0860.0+0533.4                        21.8984 17.6434
[BM2000] 0865.3+0973.3                        21.8745 17.7062
[BM2000] 0868.2+1066.6                        21.8984 17.718
[BM2000] 0869.7+0341.1                        21.8745 17.7335
[BM2000] 0869.7+0605.9                        21.9176 17.7238
[BM2000] 0870.7+0581.4                        21.8983 17.6901
[BM2000] 0872.0+1245.9                        21.8939 17.6132
[BM2000] 0873.9+0927.9                        21.9131 17.713
[BM2000] 0876.1+0520.8                        21.8938 17.6934
[BM2000] 0876.2+0375.1                        21.9131 17.7372
[BM2000] 0879.1+0207.7                        21.8791 17.7386
[BM2000] 0880.4+0790.7                        21.8939 17.7309
[BM2000] 0880.7+0609.4                        21.8938 17.6895
[BM2000] 0881.4+0421.5                        21.8939 17.6977
[BM2000] 0881.4+0650.0                        21.8746 17.6682
[BM2000] 0881.7+0862.8                        21.8985 17.6291
[BM2000] 0883.5+1215.4                        21.9176 17.6481
[BM2000] 0886.5+0273.0                        21.8791 17.6842
[BM2000] 0887.8+1051.1                        21.9131 17.7076
[BM2000] 0890.4+0968.5                        21.8701 17.6551
[BM2000] 0891.0+0583.2                        21.9132 17.7282
[BM2000] 0891.5+0413.2                        21.8746 17.7303
[BM2000] 0893.5+0287.2                        21.8984 17.7029
[BM2000] 0896.3+1072.2                        21.8746 17.6499
[BM2000] 0897.7+0469.0                        21.8895 17.6476
[BM2000] 0900.0+0605.1                        21.8746 17.6702
[BM2000] 0900.4+1044.6                        21.8701 17.6518
[BM2000] 0900.7+1047.6                        21.894 17.6218
[BM2000] 0901.3+0644.5                        21.9131 17.6737
[BM2000] 0903.6+0038.7                        21.8746 17.6947
[BM2000] 0904.5+0683.9                        21.9177 17.7204
[BM2000] 0905.5+0905.9                        21.894 17.7259
[BM2000] 0908.0+0682.1                        21.8791 17.7179
[BM2000] 0908.0+0924.5                        21.8984 17.6753
[BM2000] 0915.8+0780.6                        21.9132 17.6678
[BM2000] 0916.3+0139.8                        21.8792 17.69
[BM2000] 0916.8+0937.3                        21.9132 17.661
[BM2000] 0919.1+1175.6                        21.8701 17.6982
[BM2000] 0926.0+1069.0                        21.9088 17.7076
[BM2000] 0926.3+0943.9                        21.8792 17.6551
[BM2000] 0928.6+1214.4                        21.8747 17.6437
[BM2000] 0931.7+0477.5                        21.894 17.6953
[BM2000] 0933.8+0203.0                        21.8792 17.6872
[BM2000] 0935.3+0706.4                        21.9177 17.6704
[BM2000] 0935.4+1146.1                        21.9088 17.7043
[BM2000] 0937.9+1017.3                        21.9133 17.709
[BM2000] 0938.7+0544.1                        21.9088 17.7304
[BM2000] 0946.5+0761.0                        21.8987 17.6334
[BM2000] 0947.3+0075.1                        21.9134 17.7495
[BM2000] 0948.8+0344.6                        21.8793 17.7326
[BM2000] 0950.9+1253.1                        21.8747 17.6421
[BM2000] 0953.5+0057.8                        21.8896 17.6653
[BM2000] 0954.7+0514.5                        21.8987 17.7419
[BM2000] 0956.1+1036.2                        21.8792 17.6511
[BM2000] 0958.9+0431.3                        21.8793 17.7288
[BM2000] 0961.2+1024.8                        21.8702 17.7047
[BM2000] 0964.6+0822.3                        21.9089 17.7183
[BM2000] 0965.5+1051.6                        21.8748 17.7028
[BM2000] 0966.3+0930.9                        21.8702 17.7088
[BM2000] 0966.6+0530.5                        21.8988 17.6434
[BM2000] 0968.6+1027.9                        21.8793 17.6514
[BM2000] 0972.4+1073.9                        21.8748 17.7018
[BM2000] 0972.9+1013.2                        21.8793 17.6521
[BM2000] 0975.5+0168.7                        21.8793 17.6887
[BM2000] 0976.3+0421.4                        21.8942 17.6489
[BM2000] 0977.6+0774.1                        21.8748 17.6628
[BM2000] 0981.6+0265.8                        21.8793 17.6845
[BM2000] 0985.9+0939.3                        21.9134 17.7124
[BM2000] 0988.0+0068.2                        21.8794 17.6931
[BM2000] 0989.4+0271.2                        21.8703 17.7373
[BM2000] 0993.4+0237.2                        21.9179 17.6908
[BM2000] 0993.5+0259.2                        21.8942 17.7046
[BM2000] 0994.2+0053.3                        21.909 17.7515
[BM2000] 0996.1+0484.8                        21.909 17.7329
[BM2000] 0998.0+0578.9                        21.8898 17.6427
[BM2000] 1000.8+0016.3                        21.909 17.7531
[BM2000] 1003.5+0913.5                        21.8943 17.6275
[BM2000] 1004.8+0468.7                        21.9135 17.6813
[BM2000] 1008.4+0305.0                        21.909 17.7407
[BM2000] 1008.8+0729.3                        21.918 17.6694
[BM2000] 1011.2+0882.1                        21.8988 17.7259
[BM2000] 1016.9+0205.3                        21.8989 17.7552
[BM2000] 1017.5+0789.3                        21.875 17.6621
[BM2000] 1021.3+0289.0                        21.875 17.6838
[BM2000] 1022.5+1287.1                        21.8989 17.6106
[BM2000] 1024.0+0958.0                        21.8898 17.6263
[BM2000] 1024.3+1062.0                        21.8943 17.6698
[BM2000] 1027.4+0330.3                        21.8705 17.6826
[BM2000] 1028.5+0941.3                        21.8704 17.7083
[BM2000] 1030.0+0231.9                        21.8944 17.755
[BM2000] 1030.8+0902.6                        21.8989 17.6273
[BM2000] 1033.7+0873.9                        21.8899 17.6299
[BM2000] 1037.0+0492.7                        21.8705 17.6756
[BM2000] 1037.5+0355.6                        21.9091 17.7385
[BM2000] 1037.9+0684.0                        21.8795 17.6663
[BM2000] 1040.7+1023.5                        21.9181 17.7057
[BM2000] 1041.3+0166.8                        21.8943 17.7085
[BM2000] 1044.3+0857.5                        21.8899 17.6306
[BM2000] 1045.3+1174.0                        21.8944 17.6162
[BM2000] 1050.4+0304.2                        21.9092 17.7407
[BM2000] 1051.6+0023.3                        21.9181 17.7489
[BM2000] 1052.2+1212.0                        21.8796 17.6949
[BM2000] 1053.8+1004.0                        21.899 17.6228
[BM2000] 1055.7+0448.2                        21.8796 17.6766
[BM2000] 1056.3+0781.4                        21.8945 17.7312
[BM2000] 1056.4+0567.6                        21.8945 17.6425
[BM2000] 1057.2+1233.8                        21.875 17.6948
[BM2000] 1057.5+0399.7                        21.9181 17.7326
[BM2000] 1058.9+0214.5                        21.89 17.6585
[BM2000] 1061.1+0715.4                        21.9092 17.7229
[BM2000] 1061.5+1204.3                        21.9181 17.6486
[BM2000] 1066.1+1233.2                        21.8705 17.6957
[BM2000] 1067.7+0829.1                        21.8945 17.7291
[BM2000] 1073.9+0354.6                        21.8796 17.6806
[BM2000] 1073.9+1144.1                        21.8944 17.6663
[BM2000] 1074.9+0892.9                        21.8706 17.6582
[BM2000] 1076.1+0731.8                        21.9092 17.7222
[BM2000] 1078.3+0734.8                        21.8946 17.6353
[BM2000] 1081.1+0323.7                        21.9182 17.687
[BM2000] 1082.4+0586.4                        21.9093 17.7284
[BM2000] 1082.5+0636.6                        21.9182 17.6734
[BM2000] 1083.0+1171.7                        21.899 17.7133
[BM2000] 1086.3+0826.7                        21.9137 17.6657
[BM2000] 1092.7+1064.8                        21.8991 17.7179
[BM2000] 1095.9+0454.7                        21.9183 17.7302
[BM2000] 1097.6+0570.1                        21.8797 17.7227
[BM2000] 1097.9+0970.8                        21.8945 17.6737
[BM2000] 1100.3+1217.3                        21.8797 17.6946
[BM2000] 1101.0+0839.5                        21.8752 17.6599
[BM2000] 1101.9+0096.0                        21.8992 17.6622
[BM2000] 1103.5+0819.1                        21.8752 17.6608
[BM2000] 1103.8+0915.1                        21.8752 17.7086
[BM2000] 1106.0+0671.4                        21.9138 17.6724
[BM2000] 1106.1+0527.1                        21.9138 17.7304
[BM2000] 1107.1+0838.6                        21.8945 17.6794
[BM2000] 1108.0+0925.4                        21.8797 17.7073
[BM2000] 1112.0+0122.3                        21.9094 17.7485
[BM2000] 1112.6+0447.9                        21.8708 17.6775
[BM2000] 1113.7+0076.4                        21.8901 17.6644
[BM2000] 1114.4+1006.7                        21.8752 17.7046
[BM2000] 1115.5+1161.1                        21.8797 17.6456
[BM2000] 1115.6+0366.2                        21.9139 17.7371
[BM2000] 1116.4+0755.4                        21.8752 17.7154
[BM2000] 1117.0+0536.0                        21.8946 17.6927
[BM2000] 1119.3+0518.1                        21.9183 17.6785
[BM2000] 1125.2+0115.5                        21.9138 17.6967
[BM2000] 1125.7+0317.7                        21.8992 17.6526
[BM2000] 1127.8+0292.3                        21.8753 17.6836
[BM2000] 1129.0+0173.6                        21.8753 17.6887
[BM2000] 1131.5+0170.2                        21.8946 17.7083
[BM2000] 1132.6+0628.0                        21.8993 17.6391
[BM2000] 1134.4+1045.4                        21.8707 17.7038
[BM2000] 1136.9+0934.3                        21.8947 17.7245
[BM2000] 1145.1+0952.4                        21.9094 17.7126
[BM2000] 1145.2+0315.1                        21.8948 17.7513
[BM2000] 1147.7+0016.6                        21.9184 17.7491
[BM2000] 1149.9+0141.1                        21.8708 17.7429
[BM2000] 1151.9+1067.6                        21.8948 17.6208
[BM2000] 1157.6+0356.7                        21.9095 17.7384
[BM2000] 1158.7+0193.2                        21.8947 17.7074
[BM2000] 1158.8+0906.6                        21.8902 17.6284
[BM2000] 1160.1+0943.7                        21.8947 17.6749
[BM2000] 1160.4+0861.4                        21.8902 17.6304
[BM2000] 1164.4+0993.6                        21.8799 17.6528
[BM2000] 1164.6+1050.8                        21.8754 17.7027
[BM2000] 1170.6+1051.4                        21.8903 17.6222
[BM2000] 1171.8+0946.4                        21.8993 17.723
[BM2000] 1175.1+0196.8                        21.8799 17.6874
[BM2000] 1177.3+0191.2                        21.8949 17.6588
[BM2000] 1178.2+0502.3                        21.8754 17.7264
[BM2000] 1180.0+1069.0                        21.9095 17.7075
[BM2000] 1182.9+0531.3                        21.8755 17.6732
[BM2000] 1185.0+0103.6                        21.8949 17.7605
[BM2000] 1186.6+0729.1                        21.8903 17.6361
[BM2000] 1187.1+0163.1                        21.8904 17.6606
[BM2000] 1187.3+1065.1                        21.8799 17.6497
[BM2000] 1188.2+1082.1                        21.8903 17.6208
[BM2000] 1190.1+0230.4                        21.9096 17.7438
[BM2000] 1196.7+1100.8                        21.8903 17.62
[BM2000] 1205.6+0716.4                        21.8904 17.6366
[BM2000] 1205.9+0693.1                        21.8995 17.6362
[BM2000] 1206.2+0122.9                        21.8948 17.7103
[BM2000] 1206.3+0229.4                        21.8755 17.7381
[BM2000] 1207.4+1162.1                        21.8904 17.6174
[BM2000] 1208.8+0021.7                        21.8904 17.6667
[BM2000] 1214.5+0733.4                        21.8995 17.6345
[BM2000] 1217.3+0651.4                        21.8801 17.7192
[BM2000] 1217.8+0849.9                        21.9186 17.7131
[BM2000] 1219.0+0147.4                        21.8756 17.7416
[BM2000] 1219.8+0172.1                        21.8949 17.7083
[BM2000] 1220.1+0361.1                        21.9141 17.6859
[BM2000] 1220.1+0826.2                        21.8995 17.7282
[BM2000] 1221.3+0640.7                        21.895 17.7372
[BM2000] 1222.4+0934.8                        21.871 17.7085
[BM2000] 1223.0+0027.7                        21.871 17.7478
[BM2000] 1224.2+0525.9                        21.8801 17.6731
[BM2000] 1227.0+0204.0                        21.8756 17.7392
[BM2000] 1227.5+0424.8                        21.8995 17.6478
[BM2000] 1230.0+0830.0                        21.8801 17.7114
[BM2000] 1231.1+0680.7                        21.9142 17.7236
[BM2000] 1231.1+1001.0                        21.8949 17.6724
[BM2000] 1232.7+0157.5                        21.8801 17.6891
[BM2000] 1233.6+0121.5                        21.9097 17.7485
[BM2000] 1239.5+0842.8                        21.9186 17.6643
[BM2000] 1239.6+0845.4                        21.8756 17.7115
[BM2000] 1239.7+0875.9                        21.8995 17.726
[BM2000] 1242.7+0086.6                        21.8996 17.6625
[BM2000] 1243.0+0598.8                        21.8756 17.7221
[BM2000] 1243.0+0773.4                        21.8711 17.7155
[BM2000] 1243.9+0534.7                        21.8757 17.673
[BM2000] 1246.9+0724.0                        21.8756 17.7168
[BM2000] 1249.7+0134.4                        21.9098 17.7479
[BM2000] 1253.6+0571.6                        21.8757 17.7233
[BM2000] 1255.9+0467.9                        21.9098 17.7335
[BM2000] 1261.0+1227.6                        21.9142 17.6482
[BM2000] 1261.9+1157.4                        21.9187 17.6506
[BM2000] 1265.0+0150.7                        21.8802 17.6894
[BM2000] 1268.6+0984.0                        21.8906 17.625
[BM2000] 1270.0+0189.3                        21.895 17.7076
[BM2000] 1271.0+0658.0                        21.8997 17.6377
[BM2000] 1271.5+0170.9                        21.9144 17.7444
[BM2000] 1274.6+0850.5                        21.8906 17.6308
[BM2000] 1275.0+1255.5                        21.8906 17.6133
[BM2000] 1276.1+0829.5                        21.895 17.6798
[BM2000] 1277.2+0594.3                        21.895 17.6901
[BM2000] 1279.8+0538.6                        21.8757 17.7247
[BM2000] 1281.4+0125.0                        21.8713 17.6914
[BM2000] 1286.9+0300.7                        21.8713 17.6837
[BM2000] 1287.9+0846.5                        21.9099 17.7171
[BM2000] 1289.9+0316.9                        21.9188 17.7361
[BM2000] 1290.2+1288.9                        21.8997 17.7081
[BM2000] 1293.0+0566.2                        21.8996 17.6906
[BM2000] 1293.9+0278.6                        21.8803 17.7353
[BM2000] 1294.0+0592.7                        21.8951 17.6902
[BM2000] 1296.3+1097.4                        21.8712 17.7014
[BM2000] 1297.0+0267.6                        21.8803 17.7358
[BM2000] 1297.1+0920.1                        21.9188 17.6609
[BM2000] 1302.3+0037.7                        21.8951 17.7138
[BM2000] 1303.6+0615.6                        21.8997 17.6885
[BM2000] 1304.2+1084.7                        21.8952 17.7179
[BM2000] 1304.6+0519.5                        21.9189 17.7273
[BM2000] 1306.2+0922.9                        21.8952 17.7249
[BM2000] 1306.4+1209.0                        21.8803 17.6434
[BM2000] 1306.8+1105.3                        21.8758 17.6483
[BM2000] 1308.6+0272.1                        21.8803 17.6841
[BM2000] 1310.5+1198.6                        21.8758 17.6962
[BM2000] 1310.8+0449.4                        21.8714 17.6773
[BM2000] 1311.2+0214.5                        21.91 17.7444
[BM2000] 1312.7+0157.7                        21.9189 17.6939
[BM2000] 1313.5+0817.0                        21.8758 17.7127
[BM2000] 1314.5+0296.4                        21.9189 17.7369
[BM2000] 1314.6+0046.6                        21.8804 17.6939
[BM2000] 1314.6+0359.3                        21.8998 17.6506
[BM2000] 1316.9+0931.0                        21.9189 17.7095
[BM2000] 1318.6+0283.3                        21.8997 17.7029
[BM2000] 1327.5+0608.5                        21.9145 17.7266
[BM2000] 1329.5+0799.0                        21.8759 17.7135
[BM2000] 1330.1+1181.7                        21.8952 17.6646
[BM2000] 1330.7+0529.9                        21.8759 17.7251
[BM2000] 1332.3+1136.0                        21.9189 17.7007
[BM2000] 1332.3+1198.3                        21.8907 17.6157
[BM2000] 1334.6+0740.2                        21.8759 17.6641
[BM2000] 1336.5+0753.5                        21.9189 17.6681
[BM2000] 1341.3+0074.8                        21.8714 17.7457
[BM2000] 1341.9+0510.1                        21.8998 17.6931
[BM2000] 1344.2+0506.7                        21.9145 17.6795
[BM2000] 1344.8+0489.8                        21.8715 17.6755
[BM2000] 1347.8+0870.1                        21.8714 17.7112
[BM2000] 1349.2+0180.5                        21.919 17.7419
[BM2000] 1350.1+0458.1                        21.8714 17.7291
[BM2000] 1350.5+0468.9                        21.9101 17.7334
[BM2000] 1351.5+1118.3                        21.8998 17.7154
[BM2000] 1354.3+1214.5                        21.8804 17.6431
[BM2000] 1362.2+0837.2                        21.8999 17.6299
[BM2000] 1364.7+0998.0                        21.8999 17.7207
[BM2000] 1366.3+0785.5                        21.8909 17.6336
[BM2000] 1367.7+1046.9                        21.8909 17.6222
[BM2000] 1370.8+0039.2                        21.8761 17.7462
[BM2000] 1370.8+1141.1                        21.8953 17.6663
[BM2000] 1373.3+0679.8                        21.8953 17.6864
[BM2000] 1380.3+0588.3                        21.8955 17.7394
[BM2000] 1380.8+1229.8                        21.8715 17.6956
[BM2000] 1381.6+0714.7                        21.9 17.7329
[BM2000] 1386.2+0651.6                        21.8761 17.6679
[BM2000] 1386.3+0831.1                        21.9102 17.7177
[BM2000] 1389.4+0918.5                        21.8806 17.656
[BM2000] 1394.9+0271.2                        21.8761 17.7362
[BM2000] 1395.0+0936.3                        21.9147 17.7126
[BM2000] 1395.9+1018.6                        21.9191 17.7057
[BM2000] 1396.2+1055.3                        21.8955 17.6212
[BM2000] 1396.4+1243.1                        21.8806 17.6419
[BM2000] 1398.3+1096.0                        21.9 17.6186
[BM2000] 1399.6+0885.4                        21.9102 17.7153
[BM2000] 1401.1+0960.2                        21.891 17.626
[BM2000] 1401.5+0809.8                        21.8806 17.6607
[BM2000] 1401.7+0130.9                        21.9192 17.744
[BM2000] 1402.7+0861.5                        21.8761 17.6588
[BM2000] 1403.4+0080.7                        21.9 17.7604
[BM2000] 1406.1+1009.0                        21.8716 17.653
[BM2000] 1407.4+0521.3                        21.9102 17.7311
[BM2000] 1407.6+0654.3                        21.8806 17.6674
[BM2000] 1410.6+0380.6                        21.8955 17.6995
[BM2000] 1416.9+0164.3                        21.8762 17.689
[BM2000] 1417.3+0231.7                        21.8717 17.6867
[BM2000] 1420.1+0646.5                        21.8955 17.6879
[BM2000] 1421.1+0487.7                        21.8762 17.6749
[BM2000] 1422.1+0103.8                        21.8911 17.663
[BM2000] 1425.0+0033.5                        21.9103 17.7522
[BM2000] 1426.1+1229.5                        21.8955 17.6626
[BM2000] 1426.3+0802.7                        21.8717 17.6619
[BM2000] 1426.4+1157.8                        21.9001 17.7137
[BM2000] 1429.1+0458.0                        21.8956 17.745
[BM2000] 1435.0+0368.0                        21.9193 17.7338
[BM2000] 1436.7+1116.3                        21.8807 17.6989
[BM2000] 1438.7+0514.2                        21.9103 17.7314
[BM2000] 1442.0+0474.7                        21.8762 17.7274
[BM2000] 1442.8+0698.0                        21.8762 17.7178
[BM2000] 1444.9+0082.5                        21.9193 17.7461
[BM2000] 1445.4+0477.7                        21.8763 17.6754
[BM2000] 1446.0+0756.9                        21.8808 17.7145
[BM2000] 1446.7+1194.7                        21.8807 17.6439
[BM2000] 1448.4+0571.8                        21.9193 17.6759
[BM2000] 1448.6+1282.2                        21.9001 17.6596
[BM2000] 1448.9+0917.1                        21.9193 17.7101
[BM2000] 1449.1+0270.2                        21.8763 17.7362
[BM2000] 1449.2+0787.5                        21.9002 17.7297
[BM2000] 1449.8+0770.4                        21.8808 17.7139
[BM2000] 1450.3+0686.1                        21.9002 17.6364
[BM2000] 1450.7+0790.5                        21.9002 17.6319
[BM2000] 1450.8+0298.2                        21.8808 17.7344
[BM2000] 1453.2+0310.7                        21.8808 17.7339
[BM2000] 1454.9+0729.6                        21.9104 17.7221
[BM2000] 1456.1+0863.9                        21.9193 17.7124
[BM2000] 1456.5+1274.9                        21.8957 17.7096
[BM2000] 1459.1+0868.8                        21.9104 17.716
[BM2000] 1459.7+0872.9                        21.8956 17.6779
[BM2000] 1460.1+0908.0                        21.9104 17.7143
[BM2000] 1461.3+0742.3                        21.9149 17.7208
[BM2000] 1461.8+0397.9                        21.9148 17.6842
[BM2000] 1462.9+1240.0                        21.9001 17.6614
[BM2000] 1463.2+1145.4                        21.9001 17.6655
[BM2000] 1464.2+0795.8                        21.9002 17.6316
[BM2000] 1464.7+0542.3                        21.8763 17.6726
[BM2000] 1468.2+0430.9                        21.8718 17.678
[BM2000] 1469.8+0402.8                        21.8809 17.7299
[BM2000] 1471.2+0150.5                        21.8958 17.6604
[BM2000] 1472.7+0902.6                        21.9149 17.714
[BM2000] 1475.6+0974.9                        21.8763 17.7058
[BM2000] 1476.0+0407.9                        21.915 17.7345
[BM2000] 1477.5+0318.7                        21.8809 17.7335
[BM2000] 1480.3+0128.1                        21.8957 17.7102
[BM2000] 1481.7+0619.4                        21.8957 17.6891
[BM2000] 1482.5+1284.7                        21.8718 17.6932
[BM2000] 1483.3+1083.3                        21.9002 17.6682
[BM2000] 1484.1+0714.9                        21.8957 17.6849
[BM2000] 1486.8+0496.6                        21.8809 17.7258
[BM2000] 1488.0+0341.7                        21.8809 17.7325
[BM2000] 1489.8+0103.1                        21.8913 17.663
[BM2000] 1492.0+0374.2                        21.8809 17.7311
[BM2000] 1496.1+0425.2                        21.8809 17.7289
[BM2000] 1498.4+0433.3                        21.8764 17.7292
[BM2000] 1499.2+1161.2                        21.8809 17.6454
[BM2000] 1500.8+1118.1                        21.8957 17.6673
[BM2000] 1504.0+0648.0                        21.8809 17.6677
[BM2000] 1506.6+0608.0                        21.9195 17.7234
[BM2000] 1508.4+0670.0                        21.8959 17.6378
[BM2000] 1509.7+0635.8                        21.9151 17.7252
[BM2000] 1513.2+0409.8                        21.8913 17.6497
[BM2000] 1514.8+0297.8                        21.8959 17.654
[BM2000] 1515.8+0795.7                        21.8913 17.633
[BM2000] 1518.7+1199.3                        21.8959 17.6149
[BM2000] 1519.7+0242.8                        21.8959 17.7543
[BM2000] 1519.9+0478.7                        21.881 17.675
[BM2000] 1520.6+0132.9                        21.9106 17.7478
[BM2000] 1522.1+0464.0                        21.8959 17.7447
[BM2000] 1522.6+0308.4                        21.881 17.7339
[BM2000] 1523.5+1191.5                        21.8719 17.6972
[BM2000] 1524.2+1116.4                        21.881 17.6473
[BM2000] 1524.6+0488.2                        21.8958 17.6949
[BM2000] 1527.9+1250.0                        21.9106 17.6995
[BM2000] 1528.0+0484.0                        21.9196 17.7287
[BM2000] 1528.5+1065.2                        21.8959 17.7186
[BM2000] 1530.2+1216.5                        21.915 17.6486
[BM2000] 1530.5+1183.3                        21.9004 17.7125
[BM2000] 1530.7+0864.8                        21.881 17.7098
[BM2000] 1532.1+0840.3                        21.9196 17.7133
[BM2000] 1532.2+0221.8                        21.872 17.687
[BM2000] 1532.5+0417.9                        21.8959 17.6488
[BM2000] 1533.2+0297.4                        21.9106 17.7407
[BM2000] 1534.0+0916.9                        21.872 17.6569
[BM2000] 1534.7+1031.2                        21.881 17.651
[BM2000] 1535.0+0059.6                        21.896 17.7622
[BM2000] 1535.9+0428.0                        21.9004 17.6965
[BM2000] 1536.0+0431.8                        21.8811 17.7286
[BM2000] 1537.7+0612.3                        21.896 17.6403
[BM2000] 1538.3+0219.0                        21.9004 17.7544
[BM2000] 1541.9+1156.4                        21.9005 17.6159
[BM2000] 1547.8+0959.0                        21.881 17.6541
[BM2000] 1548.3+1142.4                        21.896 17.6173
[BM2000] 1550.0+0680.0                        21.9005 17.6366
[BM2000] 1554.0+0337.3                        21.8811 17.7327
[BM2000] 1555.1+0768.3                        21.9005 17.6327
[BM2000] 1555.2+1290.1                        21.881 17.6397
[BM2000] 1559.6+0596.8                        21.8811 17.6699
[BM2000] 1561.2+0832.1                        21.8811 17.6596
[BM2000] 1565.6+1243.1                        21.9107 17.6997
[BM2000] 1572.0+0280.5                        21.8812 17.7351
[BM2000] 1578.3+0719.2                        21.9197 17.7185
[BM2000] 1582.3+0916.5                        21.8812 17.7075
[BM2000] 1583.7+0230.8                        21.8812 17.7373
[BM2000] 1584.3+1076.4                        21.8722 17.65
[BM2000] 1586.1+0023.1                        21.9198 17.7486
[BM2000] 1588.5+0046.1                        21.8961 17.7628
[BM2000] 1589.5+1242.8                        21.9152 17.6994
[BM2000] 1590.5+0475.6                        21.9006 17.7432
[BM2000] 1591.6+0558.6                        21.9006 17.7396
[BM2000] 1591.9+0919.8                        21.8961 17.7249
[BM2000] 1592.7+0150.1                        21.9197 17.6939
[BM2000] 1593.2+1096.2                        21.9197 17.6531
[BM2000] 1599.8+0672.4                        21.8916 17.6383
[BM2000] 1603.9+0756.2                        21.8916 17.6347
[BM2000] 1605.9+0265.2                        21.9153 17.69
[BM2000] 1606.0+0683.9                        21.8813 17.7176
[BM2000] 1607.1+1248.2                        21.8812 17.6416
[BM2000] 1608.2+1268.8                        21.9197 17.6456
[BM2000] 1610.2+1226.4                        21.8813 17.694
[BM2000] 1612.9+0300.4                        21.8813 17.7342
[BM2000] 1615.3+1043.8                        21.8813 17.7019
[BM2000] 1618.7+0808.5                        21.8813 17.6606
[BM2000] 1618.9+1211.8                        21.8813 17.6946
[BM2000] 1622.2+0133.4                        21.9199 17.7438
[BM2000] 1625.5+0370.6                        21.9007 17.7477
[BM2000] 1633.0+1161.0                        21.9109 17.7033
[BAL2007] uc257.5                             3.61758 -34.3654
